map,file,line,label,class,id,event,source,x,y,location_method,canonical_location_id,canonical_location_name
CeladonGym,CeladonGym.asm,84,TrainerTwinsJoAndZoe1,TWINS,JOANDZOE1,EVENT_BEAT_TWINS_JO_AND_ZOE,trainer,4,10,canon_not_in_event,26,Celadon City
CeladonGym,CeladonGym.asm,95,TrainerTwinsJoAndZoe2,TWINS,JOANDZOE2,EVENT_BEAT_TWINS_JO_AND_ZOE,trainer,5,10,canon_not_in_event,26,Celadon City
CeruleanGym,CeruleanGym.asm,87,TrainerSwimmerfDiana,SWIMMERF,DIANA,EVENT_BEAT_SWIMMERF_DIANA,trainer,4,6,manual,11,Cerulean City
CeruleanGym,CeruleanGym.asm,98,TrainerSwimmerfBriana,SWIMMERF,BRIANA,EVENT_BEAT_SWIMMERF_BRIANA,trainer,1,9,manual,11,Cerulean City
CeruleanGym,CeruleanGym.asm,109,TrainerSwimmermParker,SWIMMERM,PARKER,EVENT_BEAT_SWIMMERM_PARKER,trainer,8,9,manual,11,Cerulean City
CianwoodGym,CianwoodGym.asm,88,TrainerBlackbeltYoshi,BLACKBELT_T,YOSHI,EVENT_BEAT_BLACKBELT_YOSHI,trainer,2,12,manual,84,Cianwood City
CianwoodGym,CianwoodGym.asm,99,TrainerBlackbeltLao,BLACKBELT_T,LAO,EVENT_BEAT_BLACKBELT_LAO,trainer,7,12,manual,84,Cianwood City
CianwoodGym,CianwoodGym.asm,110,TrainerBlackbeltNob,BLACKBELT_T,NOB,EVENT_BEAT_BLACKBELT_NOB,trainer,3,9,manual,84,Cianwood City
CianwoodGym,CianwoodGym.asm,121,TrainerBlackbeltLung,BLACKBELT_T,LUNG,EVENT_BEAT_BLACKBELT_LUNG,trainer,5,5,manual,84,Cianwood City
DanceTheater,DanceTheater.asm,18,TrainerKimonoGirlNaoko,KIMONO_GIRL,NAOKO,EVENT_BEAT_KIMONO_GIRL_NAOKO,trainer,0,2,manual,75,Ecruteak City
DanceTheater,DanceTheater.asm,29,TrainerKimonoGirlSayo,KIMONO_GIRL,SAYO,EVENT_BEAT_KIMONO_GIRL_SAYO,trainer,2,1,manual,75,Ecruteak City
DanceTheater,DanceTheater.asm,40,TrainerKimonoGirlZuki,KIMONO_GIRL,ZUKI,EVENT_BEAT_KIMONO_GIRL_ZUKI,trainer,6,2,manual,75,Ecruteak City
DanceTheater,DanceTheater.asm,51,TrainerKimonoGirlKuni,KIMONO_GIRL,KUNI,EVENT_BEAT_KIMONO_GIRL_KUNI,trainer,9,1,manual,75,Ecruteak City
DanceTheater,DanceTheater.asm,62,TrainerKimonoGirlMiki,KIMONO_GIRL,MIKI,EVENT_BEAT_KIMONO_GIRL_MIKI,trainer,11,2,manual,75,Ecruteak City
EcruteakGym,EcruteakGym.asm,71,TrainerSageJeffrey,SAGE,JEFFREY,EVENT_BEAT_SAGE_JEFFREY,trainer,2,7,manual,75,Ecruteak City
EcruteakGym,EcruteakGym.asm,82,TrainerSagePing,SAGE,PING,EVENT_BEAT_SAGE_PING,trainer,3,13,manual,75,Ecruteak City
EcruteakGym,EcruteakGym.asm,93,TrainerMediumMartha,MEDIUM,MARTHA,EVENT_BEAT_MEDIUM_MARTHA,trainer,7,5,manual,75,Ecruteak City
EcruteakGym,EcruteakGym.asm,104,TrainerMediumGrace,MEDIUM,GRACE,EVENT_BEAT_MEDIUM_GRACE,trainer,7,9,manual,75,Ecruteak City
FastShipB1F,FastShipB1F.asm,95,TrainerSailorJeff,SAILOR,JEFF,EVENT_BEAT_SAILOR_JEFF,trainer,9,11,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,106,TrainerPicnickerDebra,PICNICKER,DEBRA,EVENT_BEAT_PICNICKER_DEBRA,trainer,6,4,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,117,TrainerJugglerFritz,JUGGLER,FRITZ,EVENT_BEAT_JUGGLER_FRITZ,trainer,26,9,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,128,TrainerSailorGarrett,SAILOR,GARRETT,EVENT_BEAT_SAILOR_GARRETT,trainer,17,4,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,139,TrainerFisherJonah,FISHER,JONAH,EVENT_BEAT_FISHER_JONAH,trainer,25,8,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,150,TrainerBlackbeltWai,BLACKBELT_T,WAI,EVENT_BEAT_BLACKBELT_WAI,trainer,15,11,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,161,TrainerSailorKenneth,SAILOR,KENNETH,EVENT_BEAT_SAILOR_KENNETH,trainer,23,4,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,172,TrainerTeacherShirley,TEACHER,SHIRLEY,EVENT_BEAT_TEACHER_SHIRLEY,trainer,9,11,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,183,TrainerSchoolboyNate,SCHOOLBOY,NATE,EVENT_BEAT_SCHOOLBOY_NATE,trainer,14,9,manual,16,Vermilion City
FastShipB1F,FastShipB1F.asm,194,TrainerSchoolboyRicky,SCHOOLBOY,RICKY,EVENT_BEAT_SCHOOLBOY_RICKY,trainer,14,11,manual,16,Vermilion City
FastShipCabins_NNW_NNE_NE,FastShipCabins_NNW_NNE_NE.asm,16,TrainerCooltrainermSean,COOLTRAINERM,SEAN,EVENT_BEAT_COOLTRAINERM_SEAN,trainer,4,3,manual,16,Vermilion City
FastShipCabins_NNW_NNE_NE,FastShipCabins_NNW_NNE_NE.asm,27,TrainerCooltrainerfCarol,COOLTRAINERF,CAROL,EVENT_BEAT_COOLTRAINERF_CAROL,trainer,1,5,manual,16,Vermilion City
FastShipCabins_NNW_NNE_NE,FastShipCabins_NNW_NNE_NE.asm,38,TrainerPokemaniacEthan,POKEMANIAC,ETHAN,EVENT_BEAT_POKEMANIAC_ETHAN,trainer,1,5,manual,16,Vermilion City
FastShipCabins_NNW_NNE_NE,FastShipCabins_NNW_NNE_NE.asm,49,TrainerHikerNoland,HIKER,NOLAND,EVENT_BEAT_HIKER_NOLAND,trainer,4,17,manual,16,Vermilion City
FastShipCabins_NNW_NNE_NE,FastShipCabins_NNW_NNE_NE.asm,60,TrainerGentlemanEdward,GENTLEMAN,EDWARD,EVENT_BEAT_GENTLEMAN_EDWARD,trainer,7,30,manual,16,Vermilion City
FastShipCabins_NNW_NNE_NE,FastShipCabins_NNW_NNE_NE.asm,71,TrainerBurglarCorey,BURGLAR,COREY,EVENT_BEAT_BURGLAR_COREY,trainer,2,30,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,132,TrainerPokefanmColin,POKEFANM,COLIN,EVENT_BEAT_POKEFANM_COLIN,trainer,5,6,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,143,TrainerTwinsMegandpeg1,TWINS,MEGANDPEG1,EVENT_BEAT_TWINS_MEG_AND_PEG,trainer,2,4,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,154,TrainerTwinsMegandpeg2,TWINS,MEGANDPEG2,EVENT_BEAT_TWINS_MEG_AND_PEG,trainer,3,4,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,165,TrainerPsychicRodney,PSYCHIC_T,RODNEY,EVENT_BEAT_PSYCHIC_RODNEY,trainer,5,5,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,176,TrainerPokefanmJeremy,POKEFANM,JEREMY,EVENT_BEAT_POKEFANM_JEREMY,trainer,2,3,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,187,TrainerPokefanfGeorgia,POKEFANF,GEORGIA,EVENT_BEAT_POKEFANF_GEORGIA,trainer,5,5,manual,16,Vermilion City
FastShipCabins_SE_SSE_CaptainsCabin,FastShipCabins_SE_SSE_CaptainsCabin.asm,198,TrainerSupernerdShawn,SUPER_NERD,SHAWN,EVENT_BEAT_SUPER_NERD_SHAWN,trainer,1,15,manual,16,Vermilion City
FastShipCabins_SW_SSW_NW,FastShipCabins_SW_SSW_NW.asm,13,TrainerFirebreatherLyle,FIREBREATHER,LYLE,EVENT_BEAT_FIREBREATHER_LYLE,trainer,1,15,manual,16,Vermilion City
FastShipCabins_SW_SSW_NW,FastShipCabins_SW_SSW_NW.asm,24,TrainerBugCatcherKen,BUG_CATCHER,KEN,EVENT_BEAT_BUG_CATCHER_KEN,trainer,6,15,manual,16,Vermilion City
FastShipCabins_SW_SSW_NW,FastShipCabins_SW_SSW_NW.asm,35,TrainerBeautyCassie,BEAUTY,CASSIE,EVENT_BEAT_BEAUTY_CASSIE,trainer,1,26,manual,16,Vermilion City
FastShipCabins_SW_SSW_NW,FastShipCabins_SW_SSW_NW.asm,46,TrainerGuitaristClyde,GUITARIST,CLYDE,EVENT_BEAT_GUITARIST_CLYDE,trainer,3,28,manual,16,Vermilion City
GoldenrodGym,GoldenrodGym.asm,94,TrainerLassCarrie,LASS,CARRIE,EVENT_BEAT_LASS_CARRIE,trainer,9,13,manual,70,Goldenrod City
GoldenrodGym,GoldenrodGym.asm,118,TrainerLassBridget,LASS,BRIDGET,EVENT_BEAT_LASS_BRIDGET,trainer,9,6,manual,70,Goldenrod City
GoldenrodGym,GoldenrodGym.asm,129,TrainerBeautyVictoria,BEAUTY,VICTORIA,EVENT_BEAT_BEAUTY_VICTORIA,trainer,0,2,manual,70,Goldenrod City
GoldenrodGym,GoldenrodGym.asm,140,TrainerBeautySamantha,BEAUTY,SAMANTHA,EVENT_BEAT_BEAUTY_SAMANTHA,trainer,19,5,manual,70,Goldenrod City
GoldenrodUnderground,GoldenrodUnderground.asm,115,TrainerSupernerdEric,SUPER_NERD,ERIC,EVENT_BEAT_SUPER_NERD_ERIC,trainer,5,31,manual,70,Goldenrod City
GoldenrodUnderground,GoldenrodUnderground.asm,126,TrainerSupernerdTeru,SUPER_NERD,TERU,EVENT_BEAT_SUPER_NERD_TERU,trainer,6,9,manual,70,Goldenrod City
GoldenrodUnderground,GoldenrodUnderground.asm,137,TrainerPokemaniacIssac,POKEMANIAC,ISSAC,EVENT_BEAT_POKEMANIAC_ISSAC,trainer,3,27,manual,70,Goldenrod City
GoldenrodUnderground,GoldenrodUnderground.asm,148,TrainerPokemaniacDonald,POKEMANIAC,DONALD,EVENT_BEAT_POKEMANIAC_DONALD,trainer,2,6,manual,70,Goldenrod City
GoldenrodUndergroundSwitchRoomEntrances,GoldenrodUndergroundSwitchRoomEntrances.asm,173,TrainerGruntM11,GRUNTM,GRUNTM_11,EVENT_BEAT_ROCKET_GRUNTM_11,trainer,11,2,manual,70,Goldenrod City
GoldenrodUndergroundSwitchRoomEntrances,GoldenrodUndergroundSwitchRoomEntrances.asm,184,TrainerGruntM25,GRUNTM,GRUNTM_25,EVENT_BEAT_ROCKET_GRUNTM_25,trainer,3,2,manual,70,Goldenrod City
GoldenrodUndergroundSwitchRoomEntrances,GoldenrodUndergroundSwitchRoomEntrances.asm,195,TrainerBurglarDuncan,BURGLAR,DUNCAN,EVENT_BEAT_BURGLAR_DUNCAN,trainer,9,12,manual,70,Goldenrod City
GoldenrodUndergroundSwitchRoomEntrances,GoldenrodUndergroundSwitchRoomEntrances.asm,206,TrainerBurglarEddie,BURGLAR,EDDIE,EVENT_BEAT_BURGLAR_EDDIE,trainer,4,8,manual,70,Goldenrod City
GoldenrodUndergroundSwitchRoomEntrances,GoldenrodUndergroundSwitchRoomEntrances.asm,217,TrainerGruntM13,GRUNTM,GRUNTM_13,EVENT_BEAT_ROCKET_GRUNTM_13,trainer,17,2,manual,70,Goldenrod City
GoldenrodUndergroundSwitchRoomEntrances,GoldenrodUndergroundSwitchRoomEntrances.asm,228,TrainerGruntF3,GRUNTF,GRUNTF_3,EVENT_BEAT_ROCKET_GRUNTF_3,trainer,19,12,manual,70,Goldenrod City
GoldenrodUndergroundWarehouse,GoldenrodUndergroundWarehouse.asm,36,TrainerGruntM24,GRUNTM,GRUNTM_24,EVENT_BEAT_ROCKET_GRUNTM_24,trainer,9,8,manual,70,Goldenrod City
GoldenrodUndergroundWarehouse,GoldenrodUndergroundWarehouse.asm,47,TrainerGruntM14,GRUNTM,GRUNTM_14,EVENT_BEAT_ROCKET_GRUNTM_14,trainer,8,15,manual,70,Goldenrod City
GoldenrodUndergroundWarehouse,GoldenrodUndergroundWarehouse.asm,58,TrainerGruntM15,GRUNTM,GRUNTM_15,EVENT_BEAT_ROCKET_GRUNTM_15,trainer,14,3,manual,70,Goldenrod City
LakeOfRage,LakeOfRage.asm,147,TrainerFisherAndre,FISHER,ANDRE,EVENT_BEAT_FISHER_ANDRE,trainer,30,23,direct,88,Lake of Rage
LakeOfRage,LakeOfRage.asm,158,TrainerFisherRaymond,FISHER,RAYMOND,EVENT_BEAT_FISHER_RAYMOND,trainer,24,26,direct,88,Lake of Rage
LakeOfRage,LakeOfRage.asm,169,TrainerCooltrainermAaron,COOLTRAINERM,AARON,EVENT_BEAT_COOLTRAINERM_AARON,trainer,4,15,direct,88,Lake of Rage
LakeOfRage,LakeOfRage.asm,180,TrainerCooltrainerfLois,COOLTRAINERF,LOIS,EVENT_BEAT_COOLTRAINERF_LOIS,trainer,36,7,direct,88,Lake of Rage
MahoganyGym,MahoganyGym.asm,72,TrainerSkierRoxanne,SKIER,ROXANNE,EVENT_BEAT_SKIER_ROXANNE,trainer,4,6,manual_missing,,
MahoganyGym,MahoganyGym.asm,83,TrainerSkierClarissa,SKIER,CLARISSA,EVENT_BEAT_SKIER_CLARISSA,trainer,9,17,manual_missing,,
MahoganyGym,MahoganyGym.asm,94,TrainerBoarderRonald,BOARDER,RONALD,EVENT_BEAT_BOARDER_RONALD,trainer,0,17,manual_missing,,
MahoganyGym,MahoganyGym.asm,105,TrainerBoarderBrad,BOARDER,BRAD,EVENT_BEAT_BOARDER_BRAD,trainer,5,9,manual_missing,,
MahoganyGym,MahoganyGym.asm,116,TrainerBoarderDouglas,BOARDER,DOUGLAS,EVENT_BEAT_BOARDER_DOUGLAS,trainer,2,4,manual_missing,,
NationalPark,NationalPark.asm,73,TrainerSchoolboyJack1,SCHOOLBOY,JACK1,EVENT_BEAT_SCHOOLBOY_JACK,trainer,27,23,direct,72,National Park
NationalPark,NationalPark.asm,107,TrainerSchoolboyJack1,SCHOOLBOY,JACK1,,loadtrainer,,,direct,72,National Park
NationalPark,NationalPark.asm,156,TrainerPokefanmWilliam,POKEFANM,WILLIAM,EVENT_BEAT_POKEFANM_WILLIAM,trainer,16,9,direct,72,National Park
NationalPark,NationalPark.asm,167,TrainerPokefanfBeverly1,POKEFANF,BEVERLY1,EVENT_BEAT_POKEFANF_BEVERLY,trainer,18,29,direct,72,National Park
NationalPark,NationalPark.asm,201,TrainerPokefanfBeverly1,POKEFANF,BEVERLY1,,loadtrainer,,,direct,72,National Park
NationalPark,NationalPark.asm,250,TrainerLassKrise,LASS,KRISE,EVENT_BEAT_LASS_KRISE,trainer,8,14,direct,72,National Park
OlivineLighthouse2F,OlivineLighthouse2F.asm,11,TrainerGentlemanAlfred,GENTLEMAN,ALFRED,EVENT_BEAT_GENTLEMAN_ALFRED,trainer,17,8,manual,80,Olivine City
OlivineLighthouse2F,OlivineLighthouse2F.asm,22,TrainerSailorHuey,SAILOR,HUEY1,EVENT_BEAT_SAILOR_HUEY,trainer,9,3,manual,80,Olivine City
OlivineLighthouse2F,OlivineLighthouse2F.asm,56,TrainerSailorHuey,SAILOR,HUEY1,,loadtrainer,,,manual,80,Olivine City
OlivineLighthouse3F,OlivineLighthouse3F.asm,13,TrainerBirdKeeperTheo,BIRD_KEEPER,THEO,EVENT_BEAT_BIRD_KEEPER_THEO,trainer,3,9,manual,80,Olivine City
OlivineLighthouse3F,OlivineLighthouse3F.asm,24,TrainerGentlemanPreston,GENTLEMAN,PRESTON,EVENT_BEAT_GENTLEMAN_PRESTON,trainer,13,5,manual,80,Olivine City
OlivineLighthouse3F,OlivineLighthouse3F.asm,35,TrainerSailorTerrell,SAILOR,TERRELL,EVENT_BEAT_SAILOR_TERRELL,trainer,9,2,manual,80,Olivine City
OlivineLighthouse4F,OlivineLighthouse4F.asm,11,TrainerLassConnie,LASS,CONNIE1,EVENT_BEAT_LASS_CONNIE,trainer,11,2,manual,80,Olivine City
OlivineLighthouse4F,OlivineLighthouse4F.asm,22,TrainerSailorKent,SAILOR,KENT,EVENT_BEAT_SAILOR_KENT,trainer,7,14,manual,80,Olivine City
OlivineLighthouse5F,OlivineLighthouse5F.asm,14,TrainerBirdKeeperDenis,BIRD_KEEPER,DENIS,EVENT_BEAT_BIRD_KEEPER_DENIS,trainer,8,3,manual,80,Olivine City
OlivineLighthouse5F,OlivineLighthouse5F.asm,25,TrainerSailorErnest,SAILOR,ERNEST,EVENT_BEAT_SAILOR_ERNEST,trainer,8,11,manual,80,Olivine City
PewterGym,PewterGym.asm,42,TrainerCamperJerry,CAMPER,JERRY,EVENT_BEAT_CAMPER_JERRY,trainer,2,5,manual,54,Pewter City
RadioTower1F,RadioTower1F.asm,187,TrainerGruntM3,GRUNTM,GRUNTM_3,EVENT_BEAT_ROCKET_GRUNTM_3,trainer,14,1,manual,70,Goldenrod City
RadioTower2F,RadioTower2F.asm,54,TrainerGruntM4,GRUNTM,GRUNTM_4,EVENT_BEAT_ROCKET_GRUNTM_4,trainer,1,4,manual,70,Goldenrod City
RadioTower2F,RadioTower2F.asm,65,TrainerGruntM5,GRUNTM,GRUNTM_5,EVENT_BEAT_ROCKET_GRUNTM_5,trainer,8,4,manual,70,Goldenrod City
RadioTower2F,RadioTower2F.asm,76,TrainerGruntM6,GRUNTM,GRUNTM_6,EVENT_BEAT_ROCKET_GRUNTM_6,trainer,4,1,manual,70,Goldenrod City
RadioTower2F,RadioTower2F.asm,87,TrainerGruntF2,GRUNTF,GRUNTF_2,EVENT_BEAT_ROCKET_GRUNTF_2,trainer,10,5,manual,70,Goldenrod City
RadioTower3F,RadioTower3F.asm,84,TrainerGruntM7,GRUNTM,GRUNTM_7,EVENT_BEAT_ROCKET_GRUNTM_7,trainer,5,1,manual,70,Goldenrod City
RadioTower3F,RadioTower3F.asm,95,TrainerGruntM8,GRUNTM,GRUNTM_8,EVENT_BEAT_ROCKET_GRUNTM_8,trainer,6,2,manual,70,Goldenrod City
RadioTower3F,RadioTower3F.asm,106,TrainerGruntM9,GRUNTM,GRUNTM_9,EVENT_BEAT_ROCKET_GRUNTM_9,trainer,16,6,manual,70,Goldenrod City
RadioTower3F,RadioTower3F.asm,117,TrainerScientistMarc,SCIENTIST,MARC,EVENT_BEAT_SCIENTIST_MARC,trainer,9,6,manual,70,Goldenrod City
RadioTower4F,RadioTower4F.asm,57,TrainerGruntM10,GRUNTM,GRUNTM_10,EVENT_BEAT_ROCKET_GRUNTM_10,trainer,5,6,manual,70,Goldenrod City
RadioTower4F,RadioTower4F.asm,68,TrainerExecutivem2,EXECUTIVEM,EXECUTIVEM_2,EVENT_BEAT_ROCKET_EXECUTIVEM_2,trainer,14,1,manual,70,Goldenrod City
RadioTower4F,RadioTower4F.asm,79,TrainerGruntF4,GRUNTF,GRUNTF_4,EVENT_BEAT_ROCKET_GRUNTF_4,trainer,12,4,manual,70,Goldenrod City
RadioTower4F,RadioTower4F.asm,90,TrainerScientistRich,SCIENTIST,RICH,EVENT_BEAT_SCIENTIST_RICH,trainer,4,2,manual,70,Goldenrod City
RadioTower5F,RadioTower5F.asm,68,TrainerExecutivef1,EXECUTIVEF,EXECUTIVEF_1,EVENT_BEAT_ROCKET_EXECUTIVEF_1,trainer,17,2,manual,70,Goldenrod City
Route1,Route1.asm,12,TrainerSchoolboyDanny,SCHOOLBOY,DANNY,EVENT_BEAT_SCHOOLBOY_DANNY,trainer,7,17,route,3,Route 1
Route1,Route1.asm,23,TrainerCooltrainerfQuinn,COOLTRAINERF,QUINN,EVENT_BEAT_COOLTRAINERF_QUINN,trainer,3,26,route,3,Route 1
Route10South,Route10South.asm,11,TrainerHikerJim,HIKER,JIM,EVENT_BEAT_HIKER_JIM,trainer,17,3,route,20,Route 10
Route10South,Route10South.asm,22,TrainerPokefanmRobert,POKEFANM,ROBERT,EVENT_BEAT_POKEFANM_ROBERT,trainer,4,10,route,20,Route 10
Route11,Route11.asm,14,TrainerYoungsterOwen,YOUNGSTER,OWEN,EVENT_BEAT_YOUNGSTER_OWEN,trainer,22,14,route,17,Route 11
Route11,Route11.asm,25,TrainerYoungsterJason,YOUNGSTER,JASON,EVENT_BEAT_YOUNGSTER_JASON,trainer,15,9,route,17,Route 11
Route11,Route11.asm,36,TrainerPsychicHerman,PSYCHIC_T,HERMAN,EVENT_BEAT_PSYCHIC_HERMAN,trainer,29,7,route,17,Route 11
Route11,Route11.asm,47,TrainerPsychicFidel,PSYCHIC_T,FIDEL,EVENT_BEAT_PSYCHIC_FIDEL,trainer,7,4,route,17,Route 11
Route12,Route12.asm,15,TrainerFisherKyle,FISHER,KYLE,EVENT_BEAT_FISHER_KYLE,trainer,6,6,route,23,Route 12
Route12,Route12.asm,26,TrainerFisherMartin,FISHER,MARTIN,EVENT_BEAT_FISHER_MARTIN,trainer,5,15,route,23,Route 12
Route12,Route12.asm,37,TrainerFisherStephen,FISHER,STEPHEN,EVENT_BEAT_FISHER_STEPHEN,trainer,15,28,route,23,Route 12
Route12,Route12.asm,48,TrainerFisherBarney,FISHER,BARNEY,EVENT_BEAT_FISHER_BARNEY,trainer,13,39,route,23,Route 12
Route13,Route13.asm,14,TrainerPokefanmAlex,POKEFANM,ALEX,EVENT_BEAT_POKEFANM_ALEX,trainer,25,6,route,36,Route 13
Route13,Route13.asm,25,TrainerPokefanmJoshua,POKEFANM,JOSHUA,EVENT_BEAT_POKEFANM_JOSHUA,trainer,32,8,route,36,Route 13
Route13,Route13.asm,36,TrainerBirdKeeperPerry,BIRD_KEEPER,PERRY,EVENT_BEAT_BIRD_KEEPER_PERRY,trainer,42,6,route,36,Route 13
Route13,Route13.asm,47,TrainerBirdKeeperBret,BIRD_KEEPER,BRET,EVENT_BEAT_BIRD_KEEPER_BRET,trainer,43,6,route,36,Route 13
Route13,Route13.asm,58,TrainerHikerKenny,HIKER,KENNY,EVENT_BEAT_HIKER_KENNY,trainer,14,10,route,36,Route 13
Route14,Route14.asm,21,TrainerPokefanmCarter,POKEFANM,CARTER,EVENT_BEAT_POKEFANM_CARTER,trainer,12,14,route,35,Route 14
Route14,Route14.asm,32,TrainerBirdKeeperRoy,BIRD_KEEPER,ROY,EVENT_BEAT_BIRD_KEEPER_ROY,trainer,11,27,route,35,Route 14
Route14,Route14.asm,43,TrainerPokefanmTrevor,POKEFANM,TREVOR,EVENT_BEAT_POKEFANM_TREVOR,trainer,5,9,route,35,Route 14
Route15,Route15.asm,16,TrainerTeacherColette,TEACHER,COLETTE,EVENT_BEAT_TEACHER_COLETTE,trainer,30,12,route,34,Route 15
Route15,Route15.asm,27,TrainerTeacherHillary,TEACHER,HILLARY,EVENT_BEAT_TEACHER_HILLARY,trainer,16,10,route,34,Route 15
Route15,Route15.asm,38,TrainerSchoolboyKipp,SCHOOLBOY,KIPP,EVENT_BEAT_SCHOOLBOY_KIP,trainer,11,10,route,34,Route 15
Route15,Route15.asm,49,TrainerSchoolboyTommy,SCHOOLBOY,TOMMY,EVENT_BEAT_SCHOOLBOY_TOMMY,trainer,11,11,route,34,Route 15
Route15,Route15.asm,60,TrainerSchoolboyJohnny,SCHOOLBOY,JOHNNY,EVENT_BEAT_SCHOOLBOY_JOHNNY,trainer,33,10,route,34,Route 15
Route15,Route15.asm,71,TrainerSchoolboyBilly,SCHOOLBOY,BILLY,EVENT_BEAT_SCHOOLBOY_BILLY,trainer,27,10,route,34,Route 15
Route17,Route17.asm,19,TrainerBikerCharles,BIKER,CHARLES,EVENT_BEAT_BIKER_CHARLES,trainer,6,80,route,30,Route 17
Route17,Route17.asm,30,TrainerBikerRiley,BIKER,RILEY,EVENT_BEAT_BIKER_RILEY,trainer,4,17,route,30,Route 17
Route17,Route17.asm,41,TrainerBikerJoel,BIKER,JOEL,EVENT_BEAT_BIKER_JOEL,trainer,16,32,route,30,Route 17
Route17,Route17.asm,52,TrainerBikerGlenn,BIKER,GLENN,EVENT_BEAT_BIKER_GLENN,trainer,3,53,route,30,Route 17
Route18,Route18.asm,11,TrainerBirdKeeperBoris,BIRD_KEEPER,BORIS,EVENT_BEAT_BIRD_KEEPER_BORIS,trainer,9,12,route,31,Route 18
Route18,Route18.asm,22,TrainerBirdKeeperBob,BIRD_KEEPER,BOB,EVENT_BEAT_BIRD_KEEPER_BOB,trainer,13,6,route,31,Route 18
Route19,Route19.asm,28,TrainerSwimmerfDawn,SWIMMERF,DAWN,EVENT_BEAT_SWIMMERF_DAWN,trainer,9,23,route,38,Route 19
