encounter_name,trainer_name,trainer_class,trainer_class_id,trainer_pic,match_source
TRAINER_LEADER_ELESA,ELESA,TRAINER_CLASS_LEADER,21,TRAINER_PIC_BW_ELESA,trainer_name
TRAINER_LEADER_CLAY,CLAY,TRAINER_CLASS_LEADER,22,TRAINER_PIC_BW_CLAY,trainer_name
TRAINER_LEADER_SKYLA,SKYLA,TRAINER_CLASS_LEADER,23,TRAINER_PIC_BW_SKYLA,trainer_name
TRAINER_PKMN_RANGER_M_FORREST,FORREST,TRAINER_CLASS_PKMN_RANGER_M,24,TRAINER_PIC_BW_POKEMON_RANGER_M,trainer_class_id
TRAINER_PKMN_RANGER_F_IRENE,IRENE,TRAINER_CLASS_PKMN_RANGER_F,25,TRAINER_PIC_BW_POKEMON_RANGER_F,trainer_class_id
TRAINER_PKMN_RANGER_M_MIGUEL,MIGUEL,TRAINER_CLASS_PKMN_RANGER_M,24,TRAINER_PIC_BW_POKEMON_RANGER_M,trainer_class_id
TRAINER_PKMN_RANGER_F_AUDRA,AUDRA,TRAINER_CLASS_PKMN_RANGER_F,25,TRAINER_PIC_BW_POKEMON_RANGER_F,trainer_class_id
TRAINER_SCHOOL_KID_M_SAMMY,SAMMY,TRAINER_CLASS_SCHOOL_KID_M,4,TRAINER_PIC_BW_SCHOOL_KID_M,trainer_class_id
TRAINER_SCHOOL_KID_F_MILLIE,MILLIE,TRAINER_CLASS_SCHOOL_KID_F,5,TRAINER_PIC_BW_SCHOOL_KID_F,trainer_class_id
TRAINER_TWINS_MAYO_MAY,MAYO & MAY,TRAINER_CLASS_TWINS,16,TRAINER_PIC_BW_TWINS,trainer_class_id
TRAINER_YOUNGSTER_NICHOLAS,NICHOLAS,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_LASS_EVA,EVA,TRAINER_CLASS_LASS,3,TRAINER_PIC_BW_LASS,trainer_class_id
TRAINER_WORKER_SCOTT,SCOTT,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_SHELBY,SHELBY,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_ZACK,ZACK,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_CAIRN,CAIRN,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_BACKPACKER_M_WAYLON,WAYLON,TRAINER_CLASS_BACKPACKER_M,27,TRAINER_PIC_BW_BACKPACKER_M,trainer_class_id
TRAINER_BACKPACKER_F_JILL,JILL,TRAINER_CLASS_BACKPACKER_F,28,TRAINER_PIC_BW_BACKPACKER_F,trainer_class_id
TRAINER_FISHERMAN_HUBERT,HUBERT,TRAINER_CLASS_FISHERMAN,29,TRAINER_PIC_BW_FISHERMAN,trainer_class_id
TRAINER_FISHERMAN_ANDREW,ANDREW,TRAINER_CLASS_FISHERMAN,29,TRAINER_PIC_BW_FISHERMAN,trainer_class_id
TRAINER_SMASHER_ASPEN,ASPEN,TRAINER_CLASS_SMASHER,6,TRAINER_PIC_BW_SMASHER,trainer_class_id
TRAINER_BACKPACKER_M_MICHAEL,MICHAEL,TRAINER_CLASS_BACKPACKER_M,27,TRAINER_PIC_BW_BACKPACKER_M,trainer_class_id
TRAINER_BACKPACKER_F_LOIS,LOIS,TRAINER_CLASS_BACKPACKER_F,28,TRAINER_PIC_BW_BACKPACKER_F,trainer_class_id
TRAINER_MUSICIAN_PRESTON,PRESTON,TRAINER_CLASS_MUSICIAN,30,TRAINER_PIC_BW_MUSICIAN,trainer_class_id
TRAINER_DANCER_BRIAN,BRIAN,TRAINER_CLASS_DANCER,31,TRAINER_PIC_BW_DANCER,trainer_class_id
TRAINER_HARLEQUIN_PAUL,PAUL,TRAINER_CLASS_HARLEQUIN,32,TRAINER_PIC_BW_HARLEQUIN,trainer_class_id
TRAINER_ARTIST_HORTON,HORTON,TRAINER_CLASS_ARTIST,33,TRAINER_PIC_BW_ARTIST,trainer_class_id
TRAINER_BAKER_JENN,JENN,TRAINER_CLASS_BAKER,34,TRAINER_PIC_BW_BAKER,trainer_class_id
TRAINER_PSYCHIC_M_PERRY,PERRY,TRAINER_CLASS_PSYCHIC_M,35,TRAINER_PIC_BW_PSYCHIC_M,trainer_class_id
TRAINER_PSYCHIC_F_DUA,DUA,TRAINER_CLASS_PSYCHIC_F,36,TRAINER_PIC_BW_PSYCHIC_F,trainer_class_id
TRAINER_PKMN_TRAINER_CHEREN,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_2,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_3,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_4,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_5,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_6,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_BIANCA,BIANCA,TRAINER_CLASS_PKMN_TRAINER,38,TRAINER_PIC_BW_BIANCA,trainer_name
TRAINER_PKMN_TRAINER_BIANCA_2,BIANCA,TRAINER_CLASS_PKMN_TRAINER,38,TRAINER_PIC_BW_BIANCA,trainer_name
TRAINER_PKMN_TRAINER_BIANCA_3,BIANCA,TRAINER_CLASS_PKMN_TRAINER,38,TRAINER_PIC_BW_BIANCA,trainer_name
TRAINER_TEAM_PLASMA_GRUNT,GRUNT,TRAINER_CLASS_TEAM_PLASMA,39,TRAINER_PIC_BW_PLASMA_GRUNT_M,trainer_class_id
TRAINER_TEAM_PLASMA_GRUNT_2,GRUNT,TRAINER_CLASS_TEAM_PLASMA,39,TRAINER_PIC_BW_PLASMA_GRUNT_M,trainer_class_id
TRAINER_PKMN_TRAINER_N,N,TRAINER_CLASS_PKMN_TRAINER,40,TRAINER_PIC_BW_N,trainer_name
TRAINER_PKMN_TRAINER_N_2,N,TRAINER_CLASS_PKMN_TRAINER,40,TRAINER_PIC_BW_N,trainer_name
TRAINER_RICH_BOY_CODY,CODY,TRAINER_CLASS_RICH_BOY,41,TRAINER_PIC_BW_RICH_BOY,trainer_class_id
TRAINER_RICH_BOY_ROLAN,ROLAN,TRAINER_CLASS_RICH_BOY,41,TRAINER_PIC_BW_RICH_BOY,trainer_class_id
TRAINER_LADY_MAGNOLIA,MAGNOLIA,TRAINER_CLASS_LADY,42,TRAINER_PIC_BW_LADY,trainer_class_id
TRAINER_LADY_COLETTE,COLETTE,TRAINER_CLASS_LADY,42,TRAINER_PIC_BW_LADY,trainer_class_id
TRAINER_PILOT_TED,TED,TRAINER_CLASS_PILOT,43,TRAINER_PIC_BW_PILOT,trainer_class_id
TRAINER_PILOT_CHASE,CHASE,TRAINER_CLASS_PILOT,43,TRAINER_PIC_BW_PILOT,trainer_class_id
TRAINER_WORKER_VICTOR,VICTOR,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_FILIPE,FILIPE,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_GLENN,GLENN,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_RYAN,RYAN,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_PATTON,PATTON,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_EDDIE,EDDIE,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_MATTHEW,MATTHEW,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_WORKER_TRAINER_79,,TRAINER_CLASS_WORKER,44,TRAINER_PIC_BW_WORKERICE,trainer_class_id
TRAINER_TEAM_PLASMA_TRAINER_80,,TRAINER_CLASS_TEAM_PLASMA,39,TRAINER_PIC_BW_PLASMA_GRUNT_M,trainer_class_id
TRAINER_TEAM_PLASMA_GRUNT_3,GRUNT,TRAINER_CLASS_TEAM_PLASMA,39,TRAINER_PIC_BW_PLASMA_GRUNT_M,trainer_class_id
TRAINER_HOOPSTER_BOBBY,BOBBY,TRAINER_CLASS_HOOPSTER,45,TRAINER_PIC_BW_HOOPSTER,trainer_class_id
TRAINER_HOOPSTER_JOHN,JOHN,TRAINER_CLASS_HOOPSTER,45,TRAINER_PIC_BW_HOOPSTER,trainer_class_id
TRAINER_SCHOOL_KID_M_EDGAR,EDGAR,TRAINER_CLASS_SCHOOL_KID_M,4,TRAINER_PIC_BW_SCHOOL_KID_M,trainer_class_id
TRAINER_YOUNGSTER_ROLAND,ROLAND,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_SCHOOL_KID_M_CARTER,CARTER,TRAINER_CLASS_SCHOOL_KID_M,4,TRAINER_PIC_BW_SCHOOL_KID_M,trainer_class_id
TRAINER_SCHOOL_KID_F_LYDIA,LYDIA,TRAINER_CLASS_SCHOOL_KID_F,5,TRAINER_PIC_BW_SCHOOL_KID_F,trainer_class_id
TRAINER_SCIENTIST_SATOMI,SATOMI,TRAINER_CLASS_SCIENTIST,46,TRAINER_PIC_BW_SCIENTIST_F,trainer_class_id
TRAINER_TEAM_PLASMA_N,N,TRAINER_CLASS_TEAM_PLASMA,47,TRAINER_PIC_BW_N,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_7,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_8,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_PKMN_TRAINER_CHEREN_9,CHEREN,TRAINER_CLASS_PKMN_TRAINER,37,TRAINER_PIC_BW_CHEREN,trainer_name
TRAINER_CLERK_F_INGRID,INGRID,TRAINER_CLASS_CLERK_F,48,TRAINER_PIC_BW_CLERK_F,trainer_class_id
TRAINER_CLERK_F_ALBERTA,ALBERTA,TRAINER_CLASS_CLERK_F,48,TRAINER_PIC_BW_CLERK_F,trainer_class_id
TRAINER_CLERK_F_KATIE,KATIE,TRAINER_CLASS_CLERK_F,48,TRAINER_PIC_BW_CLERK_F,trainer_class_id
TRAINER_CLERK_F_TRISHA,TRISHA,TRAINER_CLASS_CLERK_F,48,TRAINER_PIC_BW_CLERK_F,trainer_class_id
TRAINER_WAITER_BERT,BERT,TRAINER_CLASS_WAITER,8,TRAINER_PIC_BW_WAITER,trainer_class_id
TRAINER_WAITRESS_FLO,FLO,TRAINER_CLASS_WAITRESS,9,TRAINER_PIC_BW_WAITRESS,trainer_class_id
TRAINER_ACE_TRAINER_M_CHEYENNE,CHEYENNE,TRAINER_CLASS_ACE_TRAINER_M,49,TRAINER_PIC_BW_ACE_TRAINER_F,trainer_class_id
TRAINER_ACE_TRAINER_M_STELLA,STELLA,TRAINER_CLASS_ACE_TRAINER_M,49,TRAINER_PIC_BW_ACE_TRAINER_F,trainer_class_id
TRAINER_ACE_TRAINER_M_ALLISON,ALLISON,TRAINER_CLASS_ACE_TRAINER_M,49,TRAINER_PIC_BW_ACE_TRAINER_F,trainer_class_id
TRAINER_ACE_TRAINER_M_JAMIE,JAMIE,TRAINER_CLASS_ACE_TRAINER_M,49,TRAINER_PIC_BW_ACE_TRAINER_F,trainer_class_id
TRAINER_ACE_TRAINER_F_JOHAN,JOHAN,TRAINER_CLASS_ACE_TRAINER_F,50,TRAINER_PIC_BW_ACE_TRAINER_M,trainer_class_id
TRAINER_ACE_TRAINER_F_CORKY,CORKY,TRAINER_CLASS_ACE_TRAINER_F,50,TRAINER_PIC_BW_ACE_TRAINER_M,trainer_class_id
TRAINER_ACE_TRAINER_F_JARED,JARED,TRAINER_CLASS_ACE_TRAINER_F,50,TRAINER_PIC_BW_ACE_TRAINER_M,trainer_class_id
TRAINER_ACE_TRAINER_F_JESSE,JESSE,TRAINER_CLASS_ACE_TRAINER_F,50,TRAINER_PIC_BW_ACE_TRAINER_M,trainer_class_id
TRAINER_LADY_ISABEL,ISABEL,TRAINER_CLASS_LADY,42,TRAINER_PIC_BW_LADY,trainer_class_id
TRAINER_RICH_BOY_MANUEL,MANUEL,TRAINER_CLASS_RICH_BOY,41,TRAINER_PIC_BW_RICH_BOY,trainer_class_id
TRAINER_BLACK_BELT_COREY,COREY,TRAINER_CLASS_BLACK_BELT,51,TRAINER_PIC_BW_BLACK_BELT,trainer_class_id
TRAINER_BLACK_BELT_TEPPEI,TEPPEI,TRAINER_CLASS_BLACK_BELT,51,TRAINER_PIC_BW_BLACK_BELT,trainer_class_id
TRAINER_BLACK_BELT_KENTARO,KENTARO,TRAINER_CLASS_BLACK_BELT,51,TRAINER_PIC_BW_BLACK_BELT,trainer_class_id
TRAINER_SCIENTIST_WILLIAM,WILLIAM,TRAINER_CLASS_SCIENTIST,52,TRAINER_PIC_BW_SCIENTIST_M,trainer_class_id
TRAINER_SCIENTIST_RANDALL,RANDALL,TRAINER_CLASS_SCIENTIST,52,TRAINER_PIC_BW_SCIENTIST_M,trainer_class_id
TRAINER_SCIENTIST_STEVE,STEVE,TRAINER_CLASS_SCIENTIST,52,TRAINER_PIC_BW_SCIENTIST_M,trainer_class_id
TRAINER_SCIENTIST_ORVILLE,ORVILLE,TRAINER_CLASS_SCIENTIST,52,TRAINER_PIC_BW_SCIENTIST_M,trainer_class_id
TRAINER_SCIENTIST_SAMANTHA,SAMANTHA,TRAINER_CLASS_SCIENTIST,46,TRAINER_PIC_BW_SCIENTIST_F,trainer_class_id
TRAINER_SCIENTIST_NAOKO,NAOKO,TRAINER_CLASS_SCIENTIST,46,TRAINER_PIC_BW_SCIENTIST_F,trainer_class_id
TRAINER_PSYCHIC_M_MICKI,MICKI,TRAINER_CLASS_PSYCHIC_M,35,TRAINER_PIC_BW_PSYCHIC_M,trainer_class_id
TRAINER_PSYCHIC_M_BRYCE,BRYCE,TRAINER_CLASS_PSYCHIC_M,35,TRAINER_PIC_BW_PSYCHIC_M,trainer_class_id
TRAINER_PSYCHIC_F_DOREEN,DOREEN,TRAINER_CLASS_PSYCHIC_F,36,TRAINER_PIC_BW_PSYCHIC_F,trainer_class_id
TRAINER_PSYCHIC_F_LIN,LIN,TRAINER_CLASS_PSYCHIC_F,36,TRAINER_PIC_BW_PSYCHIC_F,trainer_class_id
TRAINER_WORKER_ROB,ROB,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_RICH,RICH,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_HEATH,HEATH,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_CLIFF,CLIFF,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_TRAINER_126,,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_BRADY,BRADY,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_WORKER_ARNOLD,ARNOLD,TRAINER_CLASS_WORKER,26,TRAINER_PIC_BW_WORKER,trainer_class_id
TRAINER_STRIKER_TONY,TONY,TRAINER_CLASS_STRIKER,53,TRAINER_PIC_BW_STRIKER,trainer_class_id
TRAINER_STRIKER_ROBERTO,ROBERTO,TRAINER_CLASS_STRIKER,53,TRAINER_PIC_BW_STRIKER,trainer_class_id
TRAINER_LEADER_BRYCEN,BRYCEN,TRAINER_CLASS_LEADER,54,TRAINER_PIC_BW_BRYCEN,trainer_name
TRAINER_LEADER_IRIS,IRIS,TRAINER_CLASS_LEADER,55,TRAINER_PIC_BW_IRIS,trainer_name
TRAINER_LEADER_DRAYDEN,DRAYDEN,TRAINER_CLASS_LEADER,56,TRAINER_PIC_BW_DRAYDEN,trainer_name
TRAINER_ROUGHNECK_CHANCE,CHANCE,TRAINER_CLASS_ROUGHNECK,57,TRAINER_PIC_BW_ROUGHNECK,trainer_class_id
TRAINER_ROUGHNECK_REESE,REESE,TRAINER_CLASS_ROUGHNECK,57,TRAINER_PIC_BW_ROUGHNECK,trainer_class_id
TRAINER_ROUGHNECK_FLETCHER,FLETCHER,TRAINER_CLASS_ROUGHNECK,57,TRAINER_PIC_BW_ROUGHNECK,trainer_class_id
TRAINER_JANITOR_GEOFF,GEOFF,TRAINER_CLASS_JANITOR,58,TRAINER_PIC_BW_JANITOR,trainer_class_id
TRAINER_POKEFAN_M_JUDE,JUDE,TRAINER_CLASS_POKEFAN_M,59,TRAINER_PIC_BW_POKEFAN_M,trainer_class_id
TRAINER_POKEFAN_F_GEORGIA,GEORGIA,TRAINER_CLASS_POKEFAN_F,60,TRAINER_PIC_BW_POKEFAN_F,trainer_class_id
TRAINER_YOUNGSTER_ALBERT,ALBERT,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_KENNETH,KENNETH,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_MIKEY,MIKEY,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_PARKER,PARKER,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_ZACHARY,ZACHARY,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_KEITA,KEITA,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_ABE,ABE,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_YOUNGSTER_KEVIN,KEVIN,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_FISHERMAN_BRUCE,BRUCE,TRAINER_CLASS_FISHERMAN,29,TRAINER_PIC_BW_FISHERMAN,trainer_class_id
TRAINER_FISHERMAN_DEVON,DEVON,TRAINER_CLASS_FISHERMAN,29,TRAINER_PIC_BW_FISHERMAN,trainer_class_id
TRAINER_DOCTOR_WAYNE,WAYNE,TRAINER_CLASS_DOCTOR,61,TRAINER_PIC_BW_DOCTOR,trainer_class_id
TRAINER_DOCTOR_HANK,HANK,TRAINER_CLASS_DOCTOR,61,TRAINER_PIC_BW_DOCTOR,trainer_class_id
TRAINER_NURSE_SACHIKO,SACHIKO,TRAINER_CLASS_NURSE,62,TRAINER_PIC_BW_NURSE,trainer_class_id
TRAINER_BACKPACKER_M_JEROME,JEROME,TRAINER_CLASS_BACKPACKER_M,27,TRAINER_PIC_BW_BACKPACKER_M,trainer_class_id
TRAINER_BACKPACKER_M_TERRANCE,TERRANCE,TRAINER_CLASS_BACKPACKER_M,27,TRAINER_PIC_BW_BACKPACKER_M,trainer_class_id
TRAINER_BACKPACKER_F_RUTH,RUTH,TRAINER_CLASS_BACKPACKER_F,28,TRAINER_PIC_BW_BACKPACKER_F,trainer_class_id
TRAINER_BACKPACKER_F_ANNA,ANNA,TRAINER_CLASS_BACKPACKER_F,28,TRAINER_PIC_BW_BACKPACKER_F,trainer_class_id
TRAINER_HOOLIGANS_JIM_CAS,JIM & CAS,TRAINER_CLASS_HOOLIGANS,63,TRAINER_PIC_BW_HOOLIGANS,trainer_class_id
TRAINER_BATTLE_GIRL_AMY,AMY,TRAINER_CLASS_BATTLE_GIRL,64,TRAINER_PIC_BW_BATTLE_GIRL,trainer_class_id
TRAINER_BATTLE_GIRL_SHARON,SHARON,TRAINER_CLASS_BATTLE_GIRL,64,TRAINER_PIC_BW_BATTLE_GIRL,trainer_class_id
TRAINER_BATTLE_GIRL_LEE,LEE,TRAINER_CLASS_BATTLE_GIRL,64,TRAINER_PIC_BW_BATTLE_GIRL,trainer_class_id
TRAINER_PARASOL_LADY_NICOLE,NICOLE,TRAINER_CLASS_PARASOL_LADY,65,TRAINER_PIC_BW_PARASOL_LADY,trainer_class_id
TRAINER_PARASOL_LADY_TIHANA,TIHANA,TRAINER_CLASS_PARASOL_LADY,65,TRAINER_PIC_BW_PARASOL_LADY,trainer_class_id
TRAINER_PARASOL_LADY_MELITA,MELITA,TRAINER_CLASS_PARASOL_LADY,65,TRAINER_PIC_BW_PARASOL_LADY,trainer_class_id
TRAINER_PARASOL_LADY_LUMI,LUMI,TRAINER_CLASS_PARASOL_LADY,65,TRAINER_PIC_BW_PARASOL_LADY,trainer_class_id
TRAINER_CLERK_M_CLEMENS,CLEMENS,TRAINER_CLASS_CLERK_M,66,TRAINER_PIC_BW_CLERK_M_A,trainer_class_id
TRAINER_CLERK_M_WARREN,WARREN,TRAINER_CLASS_CLERK_M,66,TRAINER_PIC_BW_CLERK_M_A,trainer_class_id
TRAINER_CLERK_M_IVAN,IVAN,TRAINER_CLASS_CLERK_M,66,TRAINER_PIC_BW_CLERK_M_A,trainer_class_id
TRAINER_CLERK_M_ISAAC,ISAAC,TRAINER_CLASS_CLERK_M,66,TRAINER_PIC_BW_CLERK_M_A,trainer_class_id
TRAINER_CLERK_M_CHAZ,CHAZ,TRAINER_CLASS_CLERK_M,66,TRAINER_PIC_BW_CLERK_M_A,trainer_class_id
TRAINER_CLERK_M_WADE,WADE,TRAINER_CLASS_CLERK_M,67,TRAINER_PIC_BW_CLERK_M_B,trainer_class_id
TRAINER_CLERK_M_FREDRIC,FREDRIC,TRAINER_CLASS_CLERK_M,67,TRAINER_PIC_BW_CLERK_M_B,trainer_class_id
TRAINER_BACKERS_HAWK_DAR,HAWK & DAR,TRAINER_CLASS_BACKERS,68,TRAINER_PIC_BW_BACKERS_M,trainer_class_id
TRAINER_BACKERS_JOE_ROSS,JOE & ROSS,TRAINER_CLASS_BACKERS,68,TRAINER_PIC_BW_BACKERS_M,trainer_class_id
TRAINER_BACKERS_MASA_YAS,MASA & YAS,TRAINER_CLASS_BACKERS,68,TRAINER_PIC_BW_BACKERS_M,trainer_class_id
TRAINER_BACKERS_KAY_ALI,KAY & ALI,TRAINER_CLASS_BACKERS,69,TRAINER_PIC_BW_BACKERS_F,trainer_class_id
TRAINER_BACKERS_AMI_EIRA,AMI & EIRA,TRAINER_CLASS_BACKERS,69,TRAINER_PIC_BW_BACKERS_F,trainer_class_id
TRAINER_LINEBACKER_BOB,BOB,TRAINER_CLASS_LINEBACKER,7,TRAINER_PIC_BW_LINEBACKER,trainer_class_id
TRAINER_VETERAN_M_CHESTER,CHESTER,TRAINER_CLASS_VETERAN_M,70,TRAINER_PIC_BW_VETERAN_M,trainer_class_id
TRAINER_VETERAN_F_KARLA,KARLA,TRAINER_CLASS_VETERAN_F,71,TRAINER_PIC_BW_VETERAN_F,trainer_class_id
TRAINER_BIKER_PHILLIP,PHILLIP,TRAINER_CLASS_BIKER,72,TRAINER_PIC_BW_BIKER,trainer_class_id
TRAINER_BIKER_ZEKE,ZEKE,TRAINER_CLASS_BIKER,72,TRAINER_PIC_BW_BIKER,trainer_class_id
TRAINER_PKMN_RANGER_M_RICHARD,RICHARD,TRAINER_CLASS_PKMN_RANGER_M,24,TRAINER_PIC_BW_POKEMON_RANGER_M,trainer_class_id
TRAINER_PKMN_RANGER_M_PEDRO,PEDRO,TRAINER_CLASS_PKMN_RANGER_M,24,TRAINER_PIC_BW_POKEMON_RANGER_M,trainer_class_id
