trainer_index,map_name,zone_index,map_script_index,npc_index,npc_script_id
555,Liberty Garden,235,470,24,3555
556,Liberty Garden,236,472,1,3556
421,P2 Laboratory,238,476,0,3421
571,Undella Bay,240,480,0,3571
568,Undella Bay,240,480,1,3568
572,Undella Bay,240,480,2,3572
569,Undella Bay,240,480,3,3569
573,Undella Bay,240,480,4,3573
570,Undella Bay,240,480,5,3570
579,Village Bridge,255,510,12,3579
580,Village Bridge,255,510,13,3580
531,Route 1,317,634,5,3531
533,Route 1,317,634,6,3533
532,Route 1,317,634,7,3532
1,Route 2,319,638,3,3001
2,Route 2,319,638,4,3002
85,Route 2,319,638,5,3085
14,Route 3,321,642,9,3014
15,Route 3,321,642,10,3015
17,Route 3,321,642,11,3017
16,Route 3,321,642,12,3016
20,Route 3,321,642,13,3020
3,Route 3,321,642,14,3003
4,Route 3,321,642,15,3004
84,Route 3,321,642,16,3084
19,Route 3,321,642,20,3019
292,Route 3,321,642,27,3292
42,Route 4,326,652,0,3042
41,Route 4,326,652,1,3041
156,Route 4,326,652,2,3156
39,Route 4,326,652,3,3039
36,Route 4,326,652,5,3036
153,Route 4,326,652,6,3153
40,Route 4,326,652,7,3040
505,Route 4,326,652,16,3505
290,Route 4,326,652,21,3290
291,Route 4,326,652,22,3291
37,Route 4,326,652,23,3037
47,Route 5,329,658,0,3047
50,Route 5,329,658,5,3050
44,Route 5,329,658,6,3044
49,Route 5,329,658,7,3049
45,Route 5,329,658,9,3045
186,Route 6,331,662,2,3186
257,Route 6,331,662,3,3257
182,Route 6,331,662,4,3182
162,Route 6,331,662,5,3162
161,Route 6,331,662,6,3161
112,Route 6,331,662,7,3112
258,Route 6,331,662,8,3258
256,Mistralton Cave,333,666,3,3256
255,Mistralton Cave,333,666,4,3255
142,Route 7,337,674,0,3142
155,Route 7,337,674,1,3155
154,Route 7,337,674,2,3154
183,Route 7,337,674,3,3183
187,Route 7,337,674,4,3187
143,Route 7,337,674,5,3143
503,Route 7,337,674,11,3503
504,Route 7,337,674,12,3504
607,Route 7,337,674,14,3607
606,Route 7,337,674,15,3606
139,Celestial Tower,339,678,0,3139
138,Celestial Tower,339,678,1,3138
120,Celestial Tower,339,678,2,3120
190,Celestial Tower,339,678,3,3190
152,Celestial Tower,340,680,4,3152
148,Route 8,345,690,1,3148
184,Route 8,345,690,2,3184
164,Route 8,345,690,3,3164
163,Route 8,345,690,4,3163
188,Route 8,345,690,5,3188
584,Moor of Icirrus,346,692,6,3584
583,Moor of Icirrus,346,692,7,3583
585,Moor of Icirrus,346,692,8,3585
582,Moor of Icirrus,346,692,9,3582
157,Route 9,348,696,2,3157
134,Route 9,348,696,3,3134
135,Route 9,348,696,4,3135
107,Shopping Mall,350,700,8,3107
97,Shopping Mall,350,700,9,3097
98,Shopping Mall,350,700,10,3098
108,Shopping Mall,350,700,11,3108
578,Challenger's Cave,352,704,0,3578
262,Challenger's Cave,353,706,0,3262
260,Challenger's Cave,354,708,0,3260
259,Challenger's Cave,354,708,1,3259
158,Route 10,355,710,1,3158
193,Route 10,355,710,3,3193
103,Route 10,355,710,4,3103
99,Route 10,355,710,5,3099
178,Route 10,355,710,6,3178
179,Route 10,355,710,7,3179
440,Route 11,365,730,0,3440
437,Route 11,365,730,1,3437
455,Route 11,365,730,2,3455
453,Route 11,365,730,3,3453
448,Route 12,368,736,0,3448
427,Route 12,368,736,2,3427
451,Route 12,368,736,4,3451
452,Route 12,368,736,5,3452
457,Route 13,370,740,4,3457
430,Route 13,370,740,5,3430
446,Route 13,370,740,6,3446
414,Route 13,370,740,7,3414
449,Route 13,370,740,8,3449
425,Route 13,370,740,10,3425
426,Route 13,370,740,11,3426
416,Route 13,370,740,12,3416
433,Route 13,370,740,13,3433
434,Route 13,370,740,14,3434
436,Route 13,370,740,15,3436
435,Route 13,370,740,22,3435
458,Route 14,374,748,0,3458
415,Route 14,374,748,1,3415
431,Route 14,374,748,2,3431
411,Route 14,374,748,3,3411
410,Route 14,374,748,4,3410
577,Route 14,374,748,8,3577
576,Abundant Shrine,376,752,9,3576
575,Abundant Shrine,376,752,10,3575
581,Abundant Shrine,376,752,11,3581
574,Abundant Shrine,376,752,12,3574
454,Route 15,378,756,2,3454
456,Route 15,378,756,4,3456
459,Route 15,378,756,5,3459
429,Route 15,378,756,6,3429
442,Route 16,383,766,0,3442
443,Route 16,383,766,1,3443
438,Route 16,383,766,2,3438
412,Route 16,383,766,5,3412
441,Route 18,387,774,2,3441
450,Route 18,387,774,4,3450
460,Route 18,387,774,5,3460
439,Route 18,387,774,6,3439
389,Route 17,423,846,0,3389
432,Route 17,423,846,1,3432
413,Route 17,423,846,2,3413
390,Route 17,423,846,3,3390
447,Route 17,423,846,4,3447
