game_id,location_id,canonical_location_id,species_id,min_level,max_level,method,enounter_rate
1001,,8,258,,,grass-special,5
1002,,8,258,,,grass-special,5
1001,,8,393,,,grass-special,5
1002,,8,393,,,grass-special,5
1001,,8,79,,,surf-normal,60
1002,,8,79,,,surf-normal,60
1001,,8,54,,,surf-normal,30
1002,,8,54,,,surf-normal,30
1001,,8,183,,,surf-normal,10
1002,,8,183,,,surf-normal,10
1001,,8,55,,,surf-special,60
1002,,8,55,,,surf-special,60
1001,,8,184,,,surf-special,30
1002,,8,184,,,surf-special,30
1001,,8,80,,,surf-special,5
1002,,8,80,,,surf-special,5
1001,,8,199,,,surf-special,5
1002,,8,199,,,surf-special,5
1001,,8,60,,,fish-normal,60
1002,,8,60,,,fish-normal,60
1001,,8,79,,,fish-normal,30
1002,,8,79,,,fish-normal,30
1001,,8,170,,,fish-normal,5
1002,,8,170,,,fish-normal,5
1001,,8,223,,,fish-normal,5
1002,,8,223,,,fish-normal,5
1001,,8,170,,,fish-special,60
1002,,8,170,,,fish-special,60
1001,,8,211,,,fish-special,30
1002,,8,211,,,fish-special,30
1001,,8,223,,,fish-special,10
1002,,8,223,,,fish-special,10
1001,,235,527,,,cave-normal,20
1002,,235,527,,,cave-normal,20
1001,,235,41,,,cave-normal,20
1002,,235,41,,,cave-normal,20
1001,,235,74,,,cave-normal,10
1002,,235,74,,,cave-normal,10
1001,,235,524,,,cave-normal,10
1002,,235,524,,,cave-normal,10
1001,,235,304,,,cave-normal,10
1002,,235,304,,,cave-normal,10
1001,,235,293,,,cave-normal,10
1002,,235,293,,,cave-normal,10
1001,,235,194,,,cave-normal,5
1002,,235,194,,,cave-normal,5
1001,,235,436,,,cave-normal,5
1002,,235,436,,,cave-normal,5
1001,,235,610,,,cave-normal,5
1002,,235,610,,,cave-normal,5
1001,,235,216,,,cave-normal,5
1002,,235,216,,,cave-normal,5
1001,,235,529,,,cave-special,40
1002,,235,529,,,cave-special,40
1001,,235,50,,,cave-special,40
1002,,235,50,,,cave-special,40
1001,,235,443,,,cave-special,20
1002,,235,443,,,cave-special,20
1001,,235,194,,,surf-normal,60
1002,,235,194,,,surf-normal,60
1001,,235,422,,,surf-normal,40
1002,,235,422,,,surf-normal,40
1001,,235,195,,,surf-special,60
1002,,235,195,,,surf-special,60
1001,,235,423,,,surf-special,40
1002,,235,423,,,surf-special,40
1001,,235,339,,,fish-normal,60
1002,,235,339,,,fish-normal,60
1001,,235,72,,,fish-normal,30
1002,,235,72,,,fish-normal,30
1001,,235,90,,,fish-normal,10
1002,,235,90,,,fish-normal,10
1001,,235,90,,,fish-special,100
1002,,235,90,,,fish-special,100
1001,,235,42,,,cave-normal,20
1002,,235,42,,,cave-normal,20
1001,,235,75,,,cave-normal,10
1002,,235,75,,,cave-normal,10
1001,,235,525,,,cave-normal,10
1002,,235,525,,,cave-normal,10
1001,,235,305,,,cave-normal,10
1002,,235,305,,,cave-normal,10
1001,,235,208,,,cave-normal,10
1002,,235,208,,,cave-normal,10
1001,,235,294,,,cave-normal,10
1002,,235,294,,,cave-normal,10
1001,,235,195,,,cave-normal,10
1002,,235,195,,,cave-normal,10
1001,,235,530,,,cave-special,50
1002,,235,530,,,cave-special,50
1001,,235,51,,,cave-special,50
1002,,235,51,,,cave-special,50
1001,,235,340,,,surf-normal,60
1002,,235,340,,,surf-normal,60
1001,,235,423,,,surf-normal,40
1002,,235,423,,,surf-normal,40
1001,,235,340,,,surf-special,60
1002,,235,340,,,surf-special,60
1001,,235,340,,,fish-normal,100
1002,,235,340,,,fish-normal,100
1001,,235,91,,,fish-special,100
1002,,235,91,,,fish-special,100
1001,,237,535,,,grass-normal,20
1002,,237,535,,,grass-normal,20
1001,,237,532,,,grass-normal,20
1002,,237,532,,,grass-normal,20
1001,,237,307,,,grass-normal,10
1002,,237,307,,,grass-normal,10
1001,,237,167,,,grass-normal,10
1002,,237,167,,,grass-normal,10
1001,,237,165,,,grass-normal,10
1002,,237,165,,,grass-normal,10
1001,,237,66,,,grass-normal,10
1002,,237,66,,,grass-normal,10
1001,,237,296,,,grass-normal,10
1002,,237,296,,,grass-normal,10
1001,,237,453,,,grass-normal,5
1002,,237,453,,,grass-normal,5
1001,,237,287,,,grass-normal,5
1002,,237,287,,,grass-normal,5
1001,,237,538,,,grass-doubles,20
1002,,237,538,,,grass-doubles,20
1001,,237,539,,,grass-doubles,20
1002,,237,539,,,grass-doubles,20
1001,,237,206,,,grass-doubles,10
1002,,237,206,,,grass-doubles,10
1001,,237,84,,,grass-doubles,10
1002,,237,84,,,grass-doubles,10
1001,,237,209,,,grass-doubles,10
1002,,237,209,,,grass-doubles,10
1001,,237,190,,,grass-doubles,10
1002,,237,190,,,grass-doubles,10
1001,,237,104,,,grass-doubles,9
1002,,237,104,,,grass-doubles,9
1001,,237,412,,,grass-doubles,9
1002,,237,412,,,grass-doubles,9
1001,,237,214,,,grass-doubles,2
1002,,237,214,,,grass-doubles,2
1001,,237,531,,,grass-special,50
1002,,237,531,,,grass-special,50
1001,,237,498,,,grass-special,10
1002,,237,498,,,grass-special,10
1001,,237,236,,,grass-special,10
1002,,237,236,,,grass-special,10
1001,,237,447,,,grass-special,10
1002,,237,447,,,grass-special,10
1001,,237,4,,,grass-special,5
1002,,237,4,,,grass-special,5
1001,,237,155,,,grass-special,5
1002,,237,155,,,grass-special,5
1001,,237,255,,,grass-special,5
1002,,237,255,,,grass-special,5
1001,,237,390,,,grass-special,5
1002,,237,390,,,grass-special,5
1001,,237,546,,,grass-normal,20
1002,,237,546,,,grass-normal,20
1001,,237,548,,,grass-normal,20
1002,,237,548,,,grass-normal,20
1001,,237,540,,,grass-normal,10
1002,,237,540,,,grass-normal,10
1001,,237,543,,,grass-normal,10
1002,,237,543,,,grass-normal,10
1001,,237,43,,,grass-normal,10
1002,,237,43,,,grass-normal,10
1001,,237,69,,,grass-normal,10
1002,,237,69,,,grass-normal,10
1001,,237,285,,,grass-normal,5
1002,,237,285,,,grass-normal,5
1001,,237,102,,,grass-normal,5
1002,,237,102,,,grass-normal,5
1001,,237,198,,,grass-normal,5
1002,,237,198,,,grass-normal,5
1001,,237,200,,,grass-normal,5
1002,,237,200,,,grass-normal,5
1001,,237,114,,,grass-doubles,20
1002,,237,114,,,grass-doubles,20
1001,,237,315,,,grass-doubles,20
1002,,237,315,,,grass-doubles,20
1001,,237,541,,,grass-doubles,10
1002,,237,541,,,grass-doubles,10
1001,,237,544,,,grass-doubles,10
1002,,237,544,,,grass-doubles,10
1001,,237,44,,,grass-doubles,10
1002,,237,44,,,grass-doubles,10
1001,,237,70,,,grass-doubles,10
1002,,237,70,,,grass-doubles,10
1001,,237,455,,,grass-doubles,5
1002,,237,455,,,grass-doubles,5
1001,,237,123,,,grass-doubles,5
1002,,237,123,,,grass-doubles,5
1001,,237,127,,,grass-doubles,5
1002,,237,127,,,grass-doubles,5
1001,,237,288,,,grass-doubles,5
1002,,237,288,,,grass-doubles,5
1001,,237,495,,,grass-special,10
1002,,237,495,,,grass-special,10
1001,,237,511,,,grass-special,10
1002,,237,511,,,grass-special,10
1001,,237,515,,,grass-special,10
1002,,237,515,,,grass-special,10
1001,,237,513,,,grass-special,10
1002,,237,513,,,grass-special,10
1001,,237,1,,,grass-special,5
1002,,237,1,,,grass-special,5
1001,,237,152,,,grass-special,5
1002,,237,152,,,grass-special,5
1001,,237,252,,,grass-special,5
1002,,237,252,,,grass-special,5
1001,,237,387,,,grass-special,5
1002,,237,387,,,grass-special,5
1001,,237,283,,,surf-normal,100
1002,,237,283,,,surf-normal,100
1001,,237,284,,,surf-special,100
1002,,237,284,,,surf-special,100
1001,,237,54,,,fish-normal,60
1002,,237,54,,,fish-normal,60
1001,,237,60,,,fish-normal,40
1002,,237,60,,,fish-normal,40
1001,,237,61,,,fish-special,95
1002,,237,61,,,fish-special,95
1001,,237,186,,,fish-special,5
1002,,237,186,,,fish-special,5
1001,,237,640,56,56,legendary,1
1002,,237,640,56,56,legendary,1
1001,,257,494,20,20,legendary,1
1002,,257,494,20,20,legendary,1
1001,,9,551,,,sand-normal,20
1002,,9,551,,,sand-normal,20
1001,,9,27,,,sand-normal,20
1002,,9,27,,,sand-normal,20
1001,,9,554,,,sand-normal,10
1002,,9,554,,,sand-normal,10
1001,,9,559,,,sand-normal,10
1002,,9,559,,,sand-normal,10
1001,,9,331,,,sand-normal,10
1002,,9,331,,,sand-normal,10
1001,,9,328,,,sand-normal,10
1002,,9,328,,,sand-normal,10
1001,,9,629,,,sand-normal,10
1002,,9,629,,,sand-normal,10
1001,,9,449,,,sand-normal,5
1002,,9,449,,,sand-normal,5
1001,,9,605,,,sand-normal,5
1002,,9,605,,,sand-normal,5
1001,,9,592,,,surf-normal,60
1002,,9,592,,,surf-normal,60
1001,,9,366,,,surf-normal,30
1002,,9,366,,,surf-normal,30
1001,,9,369,,,surf-normal,10
1002,,9,369,,,surf-normal,10
1001,,9,593,,,surf-special,60
1002,,9,593,,,surf-special,60
1001,,9,369,,,surf-special,30
1002,,9,369,,,surf-special,30
1001,,9,367,,,surf-special,5
1002,,9,367,,,surf-special,5
1001,,9,368,,,surf-special,5
1002,,9,368,,,surf-special,5
1001,,9,98,,,fish-normal,60
1002,,9,98,,,fish-normal,60
1001,,9,341,,,fish-normal,30
1002,,9,341,,,fish-normal,30
1001,,9,366,,,fish-normal,10
1002,,9,366,,,fish-normal,10
1001,,9,366,,,fish-special,60
1002,,9,366,,,fish-special,60
1001,,9,592,,,fish-special,30
1002,,9,592,,,fish-special,30
1001,,9,369,,,fish-special,10
1002,,9,369,,,fish-special,10
1001,,239,551,,,sand-normal,20
1002,,239,551,,,sand-normal,20
1001,,239,27,,,sand-normal,20
1002,,239,27,,,sand-normal,20
1001,,239,554,,,sand-normal,10
1002,,239,554,,,sand-normal,10
1001,,239,559,,,sand-normal,10
1002,,239,559,,,sand-normal,10
1001,,239,331,,,sand-normal,10
1002,,239,331,,,sand-normal,10
1001,,239,557,,,sand-normal,10
1002,,239,557,,,sand-normal,10
1001,,239,343,,,sand-normal,10
1002,,239,343,,,sand-normal,10
1001,,239,328,,,sand-normal,10
1002,,239,328,,,sand-normal,10
1001,,239,449,,,sand-normal,10
1002,,239,449,,,sand-normal,10
1001,,239,207,,,sand-normal,10
1002,,239,207,,,sand-normal,10
1001,,239,556,,,sand-normal,5
1002,,239,556,,,sand-normal,5
1001,,239,561,,,sand-normal,5
1002,,239,561,,,sand-normal,5
1001,,239,227,,,sand-normal,5
1002,,239,227,,,sand-normal,5
1001,,239,630,,,sand-normal,5
1002,,239,630,,,sand-normal,5
1001,,239,555,35,35,special,1
1002,,239,555,35,35,special,1
1001,,240,551,,,sand-normal,20
1002,,240,551,,,sand-normal,20
1001,,240,27,,,sand-normal,20
1002,,240,27,,,sand-normal,20
1001,,240,111,,,sand-normal,10
1002,,240,111,,,sand-normal,10
1001,,240,322,,,sand-normal,10
1002,,240,322,,,sand-normal,10
1001,,240,622,,,sand-normal,10
1002,,240,622,,,sand-normal,10
1001,,240,436,,,sand-normal,10
1002,,240,436,,,sand-normal,10
1001,,240,95,,,sand-normal,10
1002,,240,95,,,sand-normal,10
1001,,240,328,,,sand-normal,10
1002,,240,328,,,sand-normal,10
1001,,240,562,,,sand-normal,20
1002,,240,562,,,sand-normal,20
1001,,240,92,,,sand-normal,20
1002,,240,92,,,sand-normal,20
1001,,240,353,,,sand-normal,10
1002,,240,353,,,sand-normal,10
1001,,240,355,,,sand-normal,10
1002,,240,355,,,sand-normal,10
1001,,240,605,,,sand-normal,10
1002,,240,605,,,sand-normal,10
1001,,240,607,,,sand-normal,10
1002,,240,607,,,sand-normal,10
1001,,240,374,,,sand-normal,4
1002,,240,374,,,sand-normal,4
1001,,240,246,,,sand-normal,4
1002,,240,246,,,sand-normal,4
1001,,240,636,,,sand-normal,2
1002,,240,636,,,sand-normal,2
1001,,240,552,,,sand-normal,20
1002,,240,552,,,sand-normal,20
1001,,240,563,,,sand-normal,20
1002,,240,563,,,sand-normal,20
1001,,240,329,,,sand-normal,10
1002,,240,329,,,sand-normal,10
1001,,240,450,,,sand-normal,10
1002,,240,450,,,sand-normal,10
1001,,240,28,,,sand-normal,10
1002,,240,28,,,sand-normal,10
1001,,240,344,,,sand-normal,10
1002,,240,344,,,sand-normal,10
1001,,240,561,,,sand-normal,5
1002,,240,561,,,sand-normal,5
1001,,240,558,,,sand-normal,5
1002,,240,558,,,sand-normal,5
1001,,240,555,,,sand-normal,5
1002,,240,555,,,sand-normal,5
1001,,240,323,,,sand-normal,5
1002,,240,323,,,sand-normal,5
1001,,240,201,,,sand-normal,100
1002,,240,201,,,sand-normal,100
1001,,240,377,50,50,legendary,1
1002,,240,377,50,50,legendary,1
1001,,240,379,50,50,legendary,1
1002,,240,379,50,50,legendary,1
1001,,240,486,70,70,legendary,1
1002,,240,486,70,70,legendary,1
1001,,240,637,75,75,special,1
1002,,240,637,75,75,special,1
1001,,14,577,,,grass-normal,20
1002,,14,577,,,grass-normal,20
1001,,14,574,,,grass-normal,20
1002,,14,574,,,grass-normal,20
1001,,14,109,,,grass-normal,10
1002,,14,109,,,grass-normal,10
1001,,14,568,,,grass-normal,10
1002,,14,568,,,grass-normal,10
1001,,14,316,,,grass-normal,10
1002,,14,316,,,grass-normal,10
1001,,14,88,,,grass-normal,10
1002,,14,88,,,grass-normal,10
1001,,14,132,,,grass-normal,5
1002,,14,132,,,grass-normal,5
1001,,14,439,,,grass-normal,5
1002,,14,439,,,grass-normal,5
1001,,14,438,,,grass-normal,5
1002,,14,438,,,grass-normal,5
1001,,14,417,,,grass-normal,5
1002,,14,417,,,grass-normal,5
1001,,14,30,,,grass-doubles,20
1002,,14,30,,,grass-doubles,20
1001,,14,33,,,grass-doubles,20
1002,,14,33,,,grass-doubles,20
1001,,14,627,,,grass-doubles,10
1002,,14,627,,,grass-doubles,10
1001,,14,108,,,grass-doubles,10
1002,,14,108,,,grass-doubles,10
1001,,14,235,,,grass-doubles,10
1002,,14,235,,,grass-doubles,10
1001,,14,572,,,grass-doubles,10
1002,,14,572,,,grass-doubles,10
1001,,14,241,,,grass-doubles,5
1002,,14,241,,,grass-doubles,5
1001,,14,128,,,grass-doubles,5
1002,,14,128,,,grass-doubles,5
1001,,14,371,,,grass-doubles,5
1002,,14,371,,,grass-doubles,5
1001,,14,446,,,grass-doubles,5
1002,,14,446,,,grass-doubles,5
1001,,14,531,,,grass-special,40
1002,,14,531,,,grass-special,40
1001,,14,587,,,grass-special,20
1002,,14,587,,,grass-special,20
1001,,14,573,,,grass-special,10
1002,,14,573,,,grass-special,10
1001,,14,31,,,grass-special,10
1002,,14,31,,,grass-special,10
1001,,14,34,,,grass-special,10
1002,,14,34,,,grass-special,10
1001,,14,628,,,grass-special,10
1002,,14,628,,,grass-special,10
1001,,29,23,,,grass-normal,20
1002,,29,23,,,grass-normal,20
1001,,29,204,,,grass-normal,20
1002,,29,204,,,grass-normal,20
1001,,29,451,,,grass-normal,10
1002,,29,451,,,grass-normal,10
1001,,29,309,,,grass-normal,10
1002,,29,309,,,grass-normal,10
1001,,29,415,,,grass-normal,10
1002,,29,415,,,grass-normal,10
1001,,29,46,,,grass-normal,10
1002,,29,46,,,grass-normal,10
1001,,29,427,,,grass-normal,5
1002,,29,427,,,grass-normal,5
1001,,29,624,,,grass-normal,5
1002,,29,624,,,grass-normal,5
1001,,29,425,,,grass-normal,5
1002,,29,425,,,grass-normal,5
1001,,29,325,,,grass-normal,5
1002,,29,325,,,grass-normal,5
1001,,29,335,,,grass-doubles,20
1002,,29,335,,,grass-doubles,20
1001,,29,336,,,grass-doubles,20
1002,,29,336,,,grass-doubles,20
1001,,29,434,,,grass-doubles,10
1002,,29,434,,,grass-doubles,10
1001,,29,431,,,grass-doubles,10
1002,,29,431,,,grass-doubles,10
1001,,29,218,,,grass-doubles,10
1002,,29,218,,,grass-doubles,10
1001,,29,416,,,grass-doubles,10
1002,,29,416,,,grass-doubles,10
1001,,29,47,,,grass-doubles,10
1002,,29,47,,,grass-doubles,10
1001,,29,203,,,grass-doubles,5
1002,,29,203,,,grass-doubles,5
1001,,29,351,,,grass-doubles,5
1002,,29,351,,,grass-doubles,5
1001,,29,531,,,grass-special,70
1002,,29,531,,,grass-special,70
1001,,29,587,,,grass-special,10
1002,,29,587,,,grass-special,10
1001,,29,625,,,grass-special,10
1002,,29,625,,,grass-special,10
1001,,29,428,,,grass-special,10
1002,,29,428,,,grass-special,10
1001,,256,588,,,grass-normal,20
1002,,256,588,,,grass-normal,20
1001,,256,616,,,grass-normal,20
1002,,256,616,,,grass-normal,20
1001,,256,193,,,grass-normal,10
1002,,256,193,,,grass-normal,10
1001,,256,172,,,grass-normal,10
1002,,256,172,,,grass-normal,10
1001,,256,54,,,grass-normal,10
1002,,256,54,,,grass-normal,10
1001,,256,283,,,grass-normal,10
1002,,256,283,,,grass-normal,10
1001,,256,83,,,grass-normal,5
1002,,256,83,,,grass-normal,5
1001,,256,441,,,grass-normal,5
1002,,256,441,,,grass-normal,5
1001,,256,200,,,grass-normal,5
1002,,256,200,,,grass-normal,5
1001,,256,198,,,grass-normal,5
1002,,256,198,,,grass-normal,5
1001,,256,589,,,grass-doubles,20
1002,,256,589,,,grass-doubles,20
1001,,256,617,,,grass-doubles,20
1002,,256,617,,,grass-doubles,20
1001,,256,413,,,grass-doubles,10
1002,,256,413,,,grass-doubles,10
1001,,256,414,,,grass-doubles,10
1002,,256,414,,,grass-doubles,10
1001,,256,284,,,grass-doubles,10
1002,,256,284,,,grass-doubles,10
1001,,256,55,,,grass-doubles,10
1002,,256,55,,,grass-doubles,10
1001,,256,83,,,grass-doubles,5
1002,,256,83,,,grass-doubles,5
1001,,256,441,,,grass-doubles,5
1002,,256,441,,,grass-doubles,5
1001,,256,541,,,grass-doubles,5
1002,,256,541,,,grass-doubles,5
1001,,256,544,,,grass-doubles,5
1002,,256,544,,,grass-doubles,5
1001,,256,531,,,grass-special,40
1002,,256,531,,,grass-special,40
1001,,256,25,,,grass-special,10
1002,,256,25,,,grass-special,10
1001,,256,352,,,grass-special,10
1002,,256,352,,,grass-special,10
1001,,256,547,,,grass-special,10
1002,,256,547,,,grass-special,10
1001,,256,549,,,grass-special,10
1002,,256,549,,,grass-special,10
1001,,256,570,,,grass-special,5
1002,,256,570,,,grass-special,5
1001,,256,133,,,grass-special,5
1002,,256,133,,,grass-special,5
1001,,256,429,,,grass-special,5
1002,,256,429,,,grass-special,5
1001,,256,430,,,grass-special,5
1002,,256,430,,,grass-special,5
1001,,256,129,,,surf-normal,100
1002,,256,129,,,surf-normal,100
1001,,256,130,,,surf-special,100
1002,,256,130,,,surf-special,100
1001,,256,318,,,fish-normal,60
1002,,256,318,,,fish-normal,60
1001,,256,129,,,fish-normal,30
1002,,256,129,,,fish-normal,30
1001,,256,118,,,fish-normal,10
1002,,256,118,,,fish-normal,10
1001,,256,319,,,fish-special,60
1002,,256,319,,,fish-special,60
1001,,256,119,,,fish-special,30
1002,,256,119,,,fish-special,30
1001,,256,130,,,fish-special,10
1002,,256,130,,,fish-special,10
1001,,256,151,30,30,legendary,1
1002,,256,151,30,30,legendary,1
1001,,256,251,30,30,legendary,1
1002,,256,251,30,30,legendary,1
1001,,258,580,,,bridge-special,20
1002,,258,580,,,bridge-special,20
1001,,258,278,,,bridge-special,20
1002,,258,278,,,bridge-special,20
1001,,258,333,,,bridge-special,20
1002,,258,333,,,bridge-special,20
1001,,258,21,,,bridge-special,20
1002,,258,21,,,bridge-special,20
1001,,258,187,,,bridge-special,20
1002,,258,187,,,bridge-special,20
1001,,241,592,,,surf-normal,60
1002,,241,592,,,surf-normal,60
1001,,241,72,,,surf-normal,30
1002,,241,72,,,surf-normal,30
1001,,241,120,,,surf-normal,10
1002,,241,120,,,surf-normal,10
