trainer_id,trainer_index,encounter_name,trainer_name,sort_order,encounter_title,starter,type_focus,version_group_id,event_type,game_id,badge_id
14260,39,TRAINER_ELITE_FOUR_MARSHAL,MARSHAL,39.3,Elite Four - Marshal,,,14,,,
14256,40,TRAINER_ELITE_FOUR_GRIMSLEY,GRIMSLEY,39.4,Elite Four - Grimsley,,,14,,,
14252,41,TRAINER_ELITE_FOUR_CAITLIN,CAITLIN,39.5,Elite Four - Caitlin,,,14,,,
14219,341,TRAINER_CHAMPION_IRIS,IRIS,39.6,Champion,,,14,,,
14512,5,TRAINER_PKMN_TRAINER_N,N,62.1,Dragonspiral Tower,,,14,,21,
14513,6,TRAINER_PKMN_TRAINER_N_2,N,62.1,Dragonspiral Tower,,,14,,22,
14531,693,TRAINER_PKMN_TRAINER_RIVAL_19,RIVAL,62.2,Undella Town - Postgame,Grass,,14,Rival,,
14533,694,TRAINER_PKMN_TRAINER_RIVAL_20,RIVAL,62.2,Undella Town - Postgame,Fire,,14,Rival,,
14534,695,TRAINER_PKMN_TRAINER_RIVAL_21,RIVAL,62.2,Undella Town - Postgame,Water,,14,Rival,,
14535,696,TRAINER_PKMN_TRAINER_RIVAL_22,RIVAL,62.3,Driftveil City - Rematch,Grass,,14,Rival,,
14536,697,TRAINER_PKMN_TRAINER_RIVAL_23,RIVAL,62.3,Driftveil City - Rematch,Fire,,14,Rival,,
14537,698,TRAINER_PKMN_TRAINER_RIVAL_24,RIVAL,62.3,Driftveil City - Rematch,Water,,14,Rival,,
14514,782,TRAINER_PKMN_TRAINER_N_3,N,62.4,N's Castle - Spring,,,14,,,
14515,783,TRAINER_PKMN_TRAINER_N_4,N,62.5,N's Castle - Summer,,,14,,,
14516,784,TRAINER_PKMN_TRAINER_N_5,N,62.6,N's Castle - Autumn,,,14,,,
14517,785,TRAINER_PKMN_TRAINER_N_6,N,62.7,N's Castle - Winter,,,14,,,
14511,456,TRAINER_PKMN_TRAINER_CYNTHIA,CYNTHIA,62.8,Undella Town - Cynthia,,,14,,,
14496,582,TRAINER_PKMN_TRAINER_ALDER,ALDER,62.9,Floccesy Town - Alder,,,14,,,
14285,140,TRAINER_GAME_FREAK_MORIMOTO,MORIMOTO,63.1,Castelia City - Morimoto,,,14,,,
14288,591,TRAINER_GAME_FREAK_NISHINO_2,NISHINO,63.2,Castelia City - Nishino,,,14,,,
14200,202,TRAINER_BOSS_TRAINER_BENGA_2,BENGA,63.3,Black Tower,,,14,,21,
14199,201,TRAINER_BOSS_TRAINER_BENGA,BENGA,63.3,White Treehollow,,,14,,22,
