encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,gen1_class,gen1_index,map,source,map_line,x,y,location_method
TRAINER_JUGGLER_6,,TRAINER_CLASS_JUGGLER,,,,,,TRAINER_PIC_JUGGLER,,party exists in decomp but no map object/script trainer reference was found,2,4,,JUGGLER,6,,,,,,unreferenced
TRAINER_TAMER_6,,TRAINER_CLASS_TAMER,,,,,,TRAINER_PIC_TAMER,,party exists in decomp but no map object/script trainer reference was found,2,4,,TAMER,6,,,,,,unreferenced
TRAINER_BIRD_KEEPER_12,,TRAINER_CLASS_BIRD_KEEPER,,,,,,TRAINER_PIC_BIRD_KEEPER,,party exists in decomp but no map object/script trainer reference was found,2,4,,BIRD_KEEPER,12,,,,,,unreferenced
TRAINER_BIRD_KEEPER_13,,TRAINER_CLASS_BIRD_KEEPER,,,,,,TRAINER_PIC_BIRD_KEEPER,,party exists in decomp but no map object/script trainer reference was found,2,4,,BIRD_KEEPER,13,,,,,,unreferenced
TRAINER_PROF_OAK_1,,TRAINER_CLASS_PROF_OAK,,,,,,TRAINER_PIC_PROF_OAK,,party exists in decomp but no map object/script trainer reference was found,2,4,,PROF_OAK,1,,,,,,unreferenced
TRAINER_PROF_OAK_2,,TRAINER_CLASS_PROF_OAK,,,,,,TRAINER_PIC_PROF_OAK,,party exists in decomp but no map object/script trainer reference was found,2,4,,PROF_OAK,2,,,,,,unreferenced
TRAINER_PROF_OAK_3,,TRAINER_CLASS_PROF_OAK,,,,,,TRAINER_PIC_PROF_OAK,,party exists in decomp but no map object/script trainer reference was found,2,4,,PROF_OAK,3,,,,,,unreferenced
TRAINER_SCIENTIST_1,,TRAINER_CLASS_SCIENTIST,,,,,,TRAINER_PIC_SCIENTIST,,party exists in decomp but no map object/script trainer reference was found,2,4,,SCIENTIST,1,,,,,,unreferenced
TRAINER_ROCKET_4,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,4,,,,,,unreferenced
TRAINER_ROCKET_16,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,16,,,,,,unreferenced
TRAINER_ROCKET_17,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,17,,,,,,unreferenced
TRAINER_ROCKET_19,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,19,,,,,,unreferenced
TRAINER_ROCKET_20,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,20,,,,,,unreferenced
TRAINER_ROCKET_21,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,21,,,,,,unreferenced
TRAINER_ROCKET_22,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,22,,,,,,unreferenced
TRAINER_ROCKET_41,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,41,,,,,,unreferenced
TRAINER_ROCKET_46,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,46,,,,,,unreferenced
TRAINER_ROCKET_47,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,47,,,,,,unreferenced
TRAINER_ROCKET_48,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,48,,,,,,unreferenced
TRAINER_ROCKET_49,,TRAINER_CLASS_ROCKET,,,,,,TRAINER_PIC_ROCKET,,party exists in decomp but no map object/script trainer reference was found,2,4,,ROCKET,49,,,,,,unreferenced
TRAINER_COOLTRAINER_M_4,,TRAINER_CLASS_COOLTRAINER_M,,,,,,TRAINER_PIC_COOLTRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_M,4,,,,,,unreferenced
TRAINER_COOLTRAINER_M_6,,TRAINER_CLASS_COOLTRAINER_M,,,,,,TRAINER_PIC_COOLTRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_M,6,,,,,,unreferenced
TRAINER_COOLTRAINER_M_7,,TRAINER_CLASS_COOLTRAINER_M,,,,,,TRAINER_PIC_COOLTRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_M,7,,,,,,unreferenced
TRAINER_COOLTRAINER_M_8,,TRAINER_CLASS_COOLTRAINER_M,,,,,,TRAINER_PIC_COOLTRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_M,8,,,,,,unreferenced
TRAINER_COOLTRAINER_F_4,,TRAINER_CLASS_COOLTRAINER_F,,,,,,TRAINER_PIC_COOLTRAINER_F,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_F,4,,,,,,unreferenced
TRAINER_COOLTRAINER_F_6,,TRAINER_CLASS_COOLTRAINER_F,,,,,,TRAINER_PIC_COOLTRAINER_F,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_F,6,,,,,,unreferenced
TRAINER_COOLTRAINER_F_7,,TRAINER_CLASS_COOLTRAINER_F,,,,,,TRAINER_PIC_COOLTRAINER_F,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_F,7,,,,,,unreferenced
TRAINER_COOLTRAINER_F_8,,TRAINER_CLASS_COOLTRAINER_F,,,,,,TRAINER_PIC_COOLTRAINER_F,,party exists in decomp but no map object/script trainer reference was found,2,4,,COOLTRAINER_F,8,,,,,,unreferenced
TRAINER_BROCK_1,,TRAINER_CLASS_BROCK,,,,,,TRAINER_PIC_BROCK,,"yellow_map=PewterGym; source=object_event; map_line=16; object_xy=4,1; script_label=TEXT_PEWTERGYM_BROCK; canonical candidate 54 Pewter City is not in Gen I event_locations",2,4,,BROCK,1,PewterGym,object_event,16,4,1,canon_not_in_event
TRAINER_GENTLEMAN_4,,TRAINER_CLASS_GENTLEMAN,,,,,,TRAINER_PIC_GENTLEMAN,,party exists in decomp but no map object/script trainer reference was found,2,4,,GENTLEMAN,4,,,,,,unreferenced
TRAINER_RIVAL2_2,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,2,,,,,,unreferenced
TRAINER_RIVAL2_3,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,3,,,,,,unreferenced
TRAINER_RIVAL2_4,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,4,,,,,,unreferenced
TRAINER_RIVAL2_5,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,5,,,,,,unreferenced
TRAINER_RIVAL2_6,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,6,,,,,,unreferenced
TRAINER_RIVAL2_7,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,7,,,,,,unreferenced
TRAINER_RIVAL2_8,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,8,,,,,,unreferenced
TRAINER_RIVAL2_9,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,9,,,,,,unreferenced
TRAINER_RIVAL2_10,,TRAINER_CLASS_RIVAL2,,,,,,TRAINER_PIC_RIVAL2,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL2,10,,,,,,unreferenced
TRAINER_RIVAL3_1,,TRAINER_CLASS_RIVAL3,,,,,,TRAINER_PIC_RIVAL3,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL3,1,,,,,,unreferenced
TRAINER_RIVAL3_2,,TRAINER_CLASS_RIVAL3,,,,,,TRAINER_PIC_RIVAL3,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL3,2,,,,,,unreferenced
TRAINER_RIVAL3_3,,TRAINER_CLASS_RIVAL3,,,,,,TRAINER_PIC_RIVAL3,,party exists in decomp but no map object/script trainer reference was found,2,4,,RIVAL3,3,,,,,,unreferenced
TRAINER_CHANNELER_1,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,1,,,,,,unreferenced
TRAINER_CHANNELER_2,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,2,,,,,,unreferenced
TRAINER_CHANNELER_3,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,3,,,,,,unreferenced
TRAINER_CHANNELER_4,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,4,,,,,,unreferenced
TRAINER_CHANNELER_7,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,7,,,,,,unreferenced
TRAINER_CHANNELER_11,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,11,,,,,,unreferenced
TRAINER_CHANNELER_13,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,13,,,,,,unreferenced
TRAINER_CHANNELER_15,,TRAINER_CLASS_CHANNELER,,,,,,TRAINER_PIC_CHANNELER,,party exists in decomp but no map object/script trainer reference was found,2,4,,CHANNELER,15,,,,,,unreferenced
