map,file,line,source,class,index,x,y,script_label,location_method,canonical_location_id,canonical_location_name
FuchsiaGym,FuchsiaGym.asm,22,object_event,JUGGLER,7,8,13,TEXT_FUCHSIAGYM_ROCKER1,manual,32,Fuschia City
FuchsiaGym,FuchsiaGym.asm,23,object_event,JUGGLER,3,7,8,TEXT_FUCHSIAGYM_ROCKER2,manual,32,Fuschia City
FuchsiaGym,FuchsiaGym.asm,24,object_event,JUGGLER,8,1,12,TEXT_FUCHSIAGYM_ROCKER3,manual,32,Fuschia City
FuchsiaGym,FuchsiaGym.asm,25,object_event,TAMER,1,3,5,TEXT_FUCHSIAGYM_ROCKER4,manual,32,Fuschia City
FuchsiaGym,FuchsiaGym.asm,26,object_event,TAMER,2,8,2,TEXT_FUCHSIAGYM_ROCKER5,manual,32,Fuschia City
FuchsiaGym,FuchsiaGym.asm,27,object_event,JUGGLER,4,2,7,TEXT_FUCHSIAGYM_ROCKER6,manual,32,Fuschia City
GameCorner,GameCorner.asm,36,object_event,ROCKET,7,9,5,TEXT_GAMECORNER_ROCKET,manual,26,Celadon City
LancesRoom,LancesRoom.asm,15,object_event,LANCE,1,6,1,TEXT_LANCESROOM_LANCE,manual,48,Victory Road
LoreleisRoom,LoreleisRoom.asm,16,object_event,LORELEI,1,5,2,TEXT_LORELEISROOM_LORELEI,manual,48,Victory Road
MtMoon1F,MtMoon1F.asm,30,object_event,HIKER,1,5,6,TEXT_MTMOON1F_HIKER,manual,10,Mt. Moon
MtMoon1F,MtMoon1F.asm,31,object_event,YOUNGSTER,3,12,16,TEXT_MTMOON1F_YOUNGSTER1,manual,10,Mt. Moon
MtMoon1F,MtMoon1F.asm,32,object_event,LASS,5,30,4,TEXT_MTMOON1F_COOLTRAINER_F1,manual,10,Mt. Moon
MtMoon1F,MtMoon1F.asm,33,object_event,SUPER_NERD,1,24,31,TEXT_MTMOON1F_SUPER_NERD,manual,10,Mt. Moon
MtMoon1F,MtMoon1F.asm,34,object_event,LASS,6,16,23,TEXT_MTMOON1F_COOLTRAINER_F2,manual,10,Mt. Moon
MtMoon1F,MtMoon1F.asm,35,object_event,BUG_CATCHER,7,7,22,TEXT_MTMOON1F_YOUNGSTER2,manual,10,Mt. Moon
MtMoon1F,MtMoon1F.asm,36,object_event,BUG_CATCHER,8,30,27,TEXT_MTMOON1F_YOUNGSTER3,manual,10,Mt. Moon
MtMoonB2F,MtMoonB2F.asm,25,object_event,SUPER_NERD,2,12,8,TEXT_MTMOONB2F_SUPER_NERD,manual,10,Mt. Moon
MtMoonB2F,MtMoonB2F.asm,27,object_event,ROCKET,2,15,22,TEXT_MTMOONB2F_ROCKET1,manual,10,Mt. Moon
MtMoonB2F,MtMoonB2F.asm,28,object_event,ROCKET,3,29,11,TEXT_MTMOONB2F_ROCKET2,manual,10,Mt. Moon
MtMoonB2F,MtMoonB2F.asm,29,object_event,ROCKET,1,29,17,TEXT_MTMOONB2F_ROCKET3,manual,10,Mt. Moon
OaksLab,OaksLab.asm,22,object_event,RIVAL1,1,4,3,TEXT_OAKSLAB_RIVAL,manual,2,Pallet Town
SSAnne2F,SSAnne2F.asm,23,object_event,RIVAL1,1,36,4,TEXT_SSANNE2F_RIVAL,manual,16,Vermilion City
OaksLab,OaksLab.asm,348,script,RIVAL1,1,,,,manual,2,Pallet Town
PewterGym,PewterGym.asm,16,object_event,BROCK,1,4,1,TEXT_PEWTERGYM_BROCK,canon_not_in_event,54,Pewter City
PewterGym,PewterGym.asm,17,object_event,JR_TRAINER_M,1,3,6,TEXT_PEWTERGYM_COOLTRAINER_M,canon_not_in_event,54,Pewter City
PokemonMansion1F,PokemonMansion1F.asm,22,object_event,SCIENTIST,4,17,17,TEXT_POKEMONMANSION1F_SCIENTIST,manual,42,Pokemon Mansion
SilphCo3F,SilphCo3F.asm,27,object_event,SCIENTIST,4,7,9,TEXT_SILPHCO3F_SCIENTIST,manual,27,Saffron City
PokemonMansion2F,PokemonMansion2F.asm,19,object_event,BURGLAR,7,3,17,TEXT_POKEMONMANSION2F_SUPER_NERD,manual,42,Pokemon Mansion
PokemonMansion3F,PokemonMansion3F.asm,19,object_event,BURGLAR,8,5,11,TEXT_POKEMONMANSION3F_SUPER_NERD,manual,42,Pokemon Mansion
PokemonMansion3F,PokemonMansion3F.asm,20,object_event,SCIENTIST,12,20,11,TEXT_POKEMONMANSION3F_SCIENTIST,manual,42,Pokemon Mansion
PokemonMansionB1F,PokemonMansionB1F.asm,20,object_event,BURGLAR,9,16,23,TEXT_POKEMONMANSIONB1F_BURGLAR,manual,42,Pokemon Mansion
PokemonMansionB1F,PokemonMansionB1F.asm,21,object_event,SCIENTIST,13,27,11,TEXT_POKEMONMANSIONB1F_SCIENTIST,manual,42,Pokemon Mansion
PokemonTower3F,PokemonTower3F.asm,17,object_event,CHANNELER,5,12,3,TEXT_POKEMONTOWER3F_CHANNELER1,manual,22,Pokemon Tower
PokemonTower3F,PokemonTower3F.asm,18,object_event,CHANNELER,6,9,8,TEXT_POKEMONTOWER3F_CHANNELER2,manual,22,Pokemon Tower
PokemonTower3F,PokemonTower3F.asm,19,object_event,CHANNELER,8,10,13,TEXT_POKEMONTOWER3F_CHANNELER3,manual,22,Pokemon Tower
PokemonTower4F,PokemonTower4F.asm,19,object_event,CHANNELER,9,5,10,TEXT_POKEMONTOWER4F_CHANNELER1,manual,22,Pokemon Tower
PokemonTower4F,PokemonTower4F.asm,20,object_event,CHANNELER,10,15,7,TEXT_POKEMONTOWER4F_CHANNELER2,manual,22,Pokemon Tower
PokemonTower4F,PokemonTower4F.asm,21,object_event,CHANNELER,12,14,12,TEXT_POKEMONTOWER4F_CHANNELER3,manual,22,Pokemon Tower
PokemonTower5F,PokemonTower5F.asm,20,object_event,CHANNELER,14,17,7,TEXT_POKEMONTOWER5F_CHANNELER2,manual,22,Pokemon Tower
PokemonTower5F,PokemonTower5F.asm,21,object_event,CHANNELER,16,14,3,TEXT_POKEMONTOWER5F_CHANNELER3,manual,22,Pokemon Tower
PokemonTower5F,PokemonTower5F.asm,22,object_event,CHANNELER,17,6,10,TEXT_POKEMONTOWER5F_CHANNELER4,manual,22,Pokemon Tower
PokemonTower5F,PokemonTower5F.asm,23,object_event,CHANNELER,18,9,16,TEXT_POKEMONTOWER5F_CHANNELER5,manual,22,Pokemon Tower
PokemonTower6F,PokemonTower6F.asm,18,object_event,CHANNELER,19,12,10,TEXT_POKEMONTOWER6F_CHANNELER1,manual,22,Pokemon Tower
PokemonTower6F,PokemonTower6F.asm,19,object_event,CHANNELER,20,9,5,TEXT_POKEMONTOWER6F_CHANNELER2,manual,22,Pokemon Tower
PokemonTower6F,PokemonTower6F.asm,20,object_event,CHANNELER,21,16,5,TEXT_POKEMONTOWER6F_CHANNELER3,manual,22,Pokemon Tower
RocketHideoutB1F,RocketHideoutB1F.asm,23,object_event,ROCKET,8,26,8,TEXT_ROCKETHIDEOUTB1F_ROCKET1,manual,26,Celadon City
RocketHideoutB1F,RocketHideoutB1F.asm,24,object_event,ROCKET,9,12,6,TEXT_ROCKETHIDEOUTB1F_ROCKET2,manual,26,Celadon City
RocketHideoutB1F,RocketHideoutB1F.asm,25,object_event,ROCKET,10,18,17,TEXT_ROCKETHIDEOUTB1F_ROCKET3,manual,26,Celadon City
RocketHideoutB1F,RocketHideoutB1F.asm,26,object_event,ROCKET,11,15,25,TEXT_ROCKETHIDEOUTB1F_ROCKET4,manual,26,Celadon City
RocketHideoutB1F,RocketHideoutB1F.asm,27,object_event,ROCKET,12,28,18,TEXT_ROCKETHIDEOUTB1F_ROCKET5,manual,26,Celadon City
RocketHideoutB2F,RocketHideoutB2F.asm,21,object_event,ROCKET,13,20,12,TEXT_ROCKETHIDEOUTB2F_ROCKET,manual,26,Celadon City
RocketHideoutB3F,RocketHideoutB3F.asm,17,object_event,ROCKET,14,10,22,TEXT_ROCKETHIDEOUTB3F_ROCKET1,manual,26,Celadon City
RocketHideoutB3F,RocketHideoutB3F.asm,18,object_event,ROCKET,15,26,12,TEXT_ROCKETHIDEOUTB3F_ROCKET2,manual,26,Celadon City
RocketHideoutB4F,RocketHideoutB4F.asm,23,object_event,GIOVANNI,1,25,3,TEXT_ROCKETHIDEOUTB4F_GIOVANNI,manual,26,Celadon City
RocketHideoutB4F,RocketHideoutB4F.asm,26,object_event,ROCKET,18,11,2,TEXT_ROCKETHIDEOUTB4F_ROCKET,manual,26,Celadon City
RockTunnel1F,RockTunnel1F.asm,27,object_event,HIKER,12,7,5,TEXT_ROCKTUNNEL1F_HIKER1,manual,21,Rock Tunnel
RockTunnel1F,RockTunnel1F.asm,28,object_event,HIKER,13,5,16,TEXT_ROCKTUNNEL1F_HIKER2,manual,21,Rock Tunnel
RockTunnel1F,RockTunnel1F.asm,29,object_event,HIKER,14,17,15,TEXT_ROCKTUNNEL1F_HIKER3,manual,21,Rock Tunnel
RockTunnel1F,RockTunnel1F.asm,30,object_event,POKEMANIAC,7,23,8,TEXT_ROCKTUNNEL1F_SUPER_NERD,manual,21,Rock Tunnel
RockTunnel1F,RockTunnel1F.asm,31,object_event,JR_TRAINER_F,17,37,21,TEXT_ROCKTUNNEL1F_COOLTRAINER_F1,manual,21,Rock Tunnel
RockTunnel1F,RockTunnel1F.asm,32,object_event,JR_TRAINER_F,18,22,24,TEXT_ROCKTUNNEL1F_COOLTRAINER_F2,manual,21,Rock Tunnel
RockTunnel1F,RockTunnel1F.asm,33,object_event,JR_TRAINER_F,19,32,24,TEXT_ROCKTUNNEL1F_COOLTRAINER_F3,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,23,object_event,JR_TRAINER_F,9,11,13,TEXT_ROCKTUNNELB1F_COOLTRAINER_F1,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,24,object_event,HIKER,9,6,10,TEXT_ROCKTUNNELB1F_HIKER1,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,25,object_event,POKEMANIAC,3,3,5,TEXT_ROCKTUNNELB1F_SUPER_NERD1,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,26,object_event,POKEMANIAC,4,20,21,TEXT_ROCKTUNNELB1F_SUPER_NERD2,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,27,object_event,HIKER,10,30,10,TEXT_ROCKTUNNELB1F_HIKER2,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,28,object_event,JR_TRAINER_F,10,14,28,TEXT_ROCKTUNNELB1F_COOLTRAINER_F2,manual,21,Rock Tunnel
RockTunnelB1F,RockTunnelB1F.asm,29,object_event,HIKER,11,33,5,TEXT_ROCKTUNNELB1F_HIKER3,manual,21,Rock Tunnel
Route9,Route9.asm,26,object_event,HIKER,11,16,15,TEXT_ROUTE9_HIKER1,route,19,Route 9
RockTunnelB1F,RockTunnelB1F.asm,30,object_event,POKEMANIAC,5,26,30,TEXT_ROCKTUNNELB1F_SUPER_NERD3,manual,21,Rock Tunnel
Route10,Route10.asm,25,object_event,POKEMANIAC,1,10,44,TEXT_ROUTE10_SUPER_NERD1,route,20,Route 10
Route10,Route10.asm,26,object_event,HIKER,7,3,57,TEXT_ROUTE10_HIKER1,route,20,Route 10
Route10,Route10.asm,27,object_event,POKEMANIAC,2,14,64,TEXT_ROUTE10_SUPER_NERD2,route,20,Route 10
Route10,Route10.asm,28,object_event,JR_TRAINER_F,7,7,25,TEXT_ROUTE10_COOLTRAINER_F1,route,20,Route 10
Route10,Route10.asm,29,object_event,HIKER,8,3,61,TEXT_ROUTE10_HIKER2,route,20,Route 10
Route10,Route10.asm,30,object_event,JR_TRAINER_F,8,7,54,TEXT_ROUTE10_COOLTRAINER_F2,route,20,Route 10
Route11,Route11.asm,27,object_event,GAMBLER,1,10,14,TEXT_ROUTE11_GAMBLER1,route,17,Route 11
Route11,Route11.asm,28,object_event,GAMBLER,2,26,9,TEXT_ROUTE11_GAMBLER2,route,17,Route 11
Route11,Route11.asm,29,object_event,YOUNGSTER,9,13,5,TEXT_ROUTE11_YOUNGSTER1,route,17,Route 11
Route11,Route11.asm,30,object_event,ENGINEER,2,36,11,TEXT_ROUTE11_SUPER_NERD1,route,17,Route 11
Route11,Route11.asm,31,object_event,YOUNGSTER,10,22,4,TEXT_ROUTE11_YOUNGSTER2,route,17,Route 11
Route11,Route11.asm,32,object_event,GAMBLER,3,45,7,TEXT_ROUTE11_GAMBLER3,route,17,Route 11
Route11,Route11.asm,33,object_event,GAMBLER,4,33,3,TEXT_ROUTE11_GAMBLER4,route,17,Route 11
Route11,Route11.asm,34,object_event,YOUNGSTER,11,43,5,TEXT_ROUTE11_YOUNGSTER3,route,17,Route 11
Route11,Route11.asm,35,object_event,ENGINEER,3,45,16,TEXT_ROUTE11_SUPER_NERD2,route,17,Route 11
Route11,Route11.asm,36,object_event,YOUNGSTER,12,22,12,TEXT_ROUTE11_YOUNGSTER4,route,17,Route 11
Route12,Route12.asm,28,object_event,FISHER,3,14,31,TEXT_ROUTE12_FISHER1,route,23,Route 12
Route12,Route12.asm,29,object_event,FISHER,4,5,39,TEXT_ROUTE12_FISHER2,route,23,Route 12
Route12,Route12.asm,30,object_event,JR_TRAINER_M,9,11,92,TEXT_ROUTE12_COOLTRAINER_M,route,23,Route 12
Route12,Route12.asm,31,object_event,ROCKER,2,14,76,TEXT_ROUTE12_SUPER_NERD,route,23,Route 12
Route12,Route12.asm,32,object_event,FISHER,5,12,40,TEXT_ROUTE12_FISHER3,route,23,Route 12
Route12,Route12.asm,33,object_event,FISHER,6,9,52,TEXT_ROUTE12_FISHER4,route,23,Route 12
Route12,Route12.asm,34,object_event,FISHER,11,6,87,TEXT_ROUTE12_FISHER5,route,23,Route 12
Route13,Route13.asm,24,object_event,BIRD_KEEPER,1,49,10,TEXT_ROUTE13_COOLTRAINER_M1,route,36,Route 13
Route13,Route13.asm,25,object_event,JR_TRAINER_F,12,48,10,TEXT_ROUTE13_COOLTRAINER_F1,route,36,Route 13
Route13,Route13.asm,26,object_event,JR_TRAINER_F,13,27,9,TEXT_ROUTE13_COOLTRAINER_F2,route,36,Route 13
Route13,Route13.asm,27,object_event,JR_TRAINER_F,14,23,10,TEXT_ROUTE13_COOLTRAINER_F3,route,36,Route 13
Route13,Route13.asm,28,object_event,JR_TRAINER_F,15,50,5,TEXT_ROUTE13_COOLTRAINER_F4,route,36,Route 13
Route13,Route13.asm,29,object_event,BIRD_KEEPER,2,12,4,TEXT_ROUTE13_COOLTRAINER_M2,route,36,Route 13
Route13,Route13.asm,30,object_event,BEAUTY,4,33,6,TEXT_ROUTE13_BEAUTY1,route,36,Route 13
Route13,Route13.asm,31,object_event,BEAUTY,5,32,6,TEXT_ROUTE13_BEAUTY2,route,36,Route 13
Route13,Route13.asm,32,object_event,BIKER,1,10,7,TEXT_ROUTE13_BIKER,route,36,Route 13
Route13,Route13.asm,33,object_event,BIRD_KEEPER,3,7,13,TEXT_ROUTE13_COOLTRAINER_M3,route,36,Route 13
Route14,Route14.asm,22,object_event,BIRD_KEEPER,14,4,4,TEXT_ROUTE14_COOLTRAINER_M1,route,35,Route 14
Route14,Route14.asm,23,object_event,BIRD_KEEPER,15,15,6,TEXT_ROUTE14_COOLTRAINER_M2,route,35,Route 14
Route14,Route14.asm,24,object_event,BIRD_KEEPER,16,12,11,TEXT_ROUTE14_COOLTRAINER_M3,route,35,Route 14
Route14,Route14.asm,25,object_event,BIRD_KEEPER,17,14,15,TEXT_ROUTE14_COOLTRAINER_M4,route,35,Route 14
Route14,Route14.asm,26,object_event,BIRD_KEEPER,4,15,31,TEXT_ROUTE14_COOLTRAINER_M5,route,35,Route 14
Route14,Route14.asm,27,object_event,BIRD_KEEPER,5,6,49,TEXT_ROUTE14_COOLTRAINER_M6,route,35,Route 14
Route14,Route14.asm,28,object_event,BIKER,13,5,39,TEXT_ROUTE14_BIKER1,route,35,Route 14
Route14,Route14.asm,29,object_event,BIKER,14,4,30,TEXT_ROUTE14_BIKER2,route,35,Route 14
Route14,Route14.asm,30,object_event,BIKER,15,15,30,TEXT_ROUTE14_BIKER3,route,35,Route 14
Route14,Route14.asm,31,object_event,BIKER,2,4,31,TEXT_ROUTE14_BIKER4,route,35,Route 14
Route15,Route15.asm,27,object_event,JR_TRAINER_F,20,41,11,TEXT_ROUTE15_COOLTRAINER_F1,route,34,Route 15
Route15,Route15.asm,28,object_event,JR_TRAINER_F,21,53,10,TEXT_ROUTE15_COOLTRAINER_F2,route,34,Route 15
Route15,Route15.asm,29,object_event,BIRD_KEEPER,6,31,13,TEXT_ROUTE15_COOLTRAINER_M1,route,34,Route 15
Route15,Route15.asm,30,object_event,BIRD_KEEPER,7,35,13,TEXT_ROUTE15_COOLTRAINER_M2,route,34,Route 15
Route15,Route15.asm,31,object_event,BEAUTY,9,53,11,TEXT_ROUTE15_BEAUTY1,route,34,Route 15
Route15,Route15.asm,32,object_event,BEAUTY,10,41,10,TEXT_ROUTE15_BEAUTY2,route,34,Route 15
Route15,Route15.asm,33,object_event,BIKER,3,48,10,TEXT_ROUTE15_BIKER1,route,34,Route 15
Route15,Route15.asm,34,object_event,BIKER,4,46,10,TEXT_ROUTE15_BIKER2,route,34,Route 15
Route15,Route15.asm,35,object_event,JR_TRAINER_F,22,37,5,TEXT_ROUTE15_COOLTRAINER_F3,route,34,Route 15
Route15,Route15.asm,36,object_event,JR_TRAINER_F,23,18,13,TEXT_ROUTE15_COOLTRAINER_F4,route,34,Route 15
Route16,Route16.asm,29,object_event,BIKER,5,17,12,TEXT_ROUTE16_BIKER1,route,29,Route 16
Route16,Route16.asm,30,object_event,CUE_BALL,1,14,13,TEXT_ROUTE16_BIKER2,route,29,Route 16
Route16,Route16.asm,31,object_event,CUE_BALL,2,11,12,TEXT_ROUTE16_BIKER3,route,29,Route 16
Route16,Route16.asm,32,object_event,BIKER,6,9,11,TEXT_ROUTE16_BIKER4,route,29,Route 16
Route16,Route16.asm,33,object_event,CUE_BALL,3,6,10,TEXT_ROUTE16_BIKER5,route,29,Route 16
Route16,Route16.asm,34,object_event,BIKER,7,3,12,TEXT_ROUTE16_BIKER6,route,29,Route 16
Route17,Route17.asm,27,object_event,CUE_BALL,4,12,19,TEXT_ROUTE17_BIKER1,route,30,Route 17
Route17,Route17.asm,28,object_event,CUE_BALL,5,11,16,TEXT_ROUTE17_BIKER2,route,30,Route 17
Route17,Route17.asm,29,object_event,BIKER,8,4,18,TEXT_ROUTE17_BIKER3,route,30,Route 17
Route17,Route17.asm,30,object_event,BIKER,9,7,32,TEXT_ROUTE17_BIKER4,route,30,Route 17
Route17,Route17.asm,31,object_event,BIKER,10,14,34,TEXT_ROUTE17_BIKER5,route,30,Route 17
Route17,Route17.asm,32,object_event,CUE_BALL,6,17,58,TEXT_ROUTE17_BIKER6,route,30,Route 17
Route17,Route17.asm,33,object_event,CUE_BALL,7,2,68,TEXT_ROUTE17_BIKER7,route,30,Route 17
Route17,Route17.asm,34,object_event,CUE_BALL,8,14,98,TEXT_ROUTE17_BIKER8,route,30,Route 17
Route17,Route17.asm,35,object_event,BIKER,11,5,98,TEXT_ROUTE17_BIKER9,route,30,Route 17
Route17,Route17.asm,36,object_event,BIKER,12,10,118,TEXT_ROUTE17_BIKER10,route,30,Route 17
Route18,Route18.asm,20,object_event,BIRD_KEEPER,8,36,11,TEXT_ROUTE18_COOLTRAINER_M1,route,31,Route 18
Route18,Route18.asm,21,object_event,BIRD_KEEPER,9,40,15,TEXT_ROUTE18_COOLTRAINER_M2,route,31,Route 18
Route18,Route18.asm,22,object_event,BIRD_KEEPER,10,42,13,TEXT_ROUTE18_COOLTRAINER_M3,route,31,Route 18
Route19,Route19.asm,23,object_event,SWIMMER,2,9,7,TEXT_ROUTE19_COOLTRAINER_M1,route,38,Route 19
Route19,Route19.asm,24,object_event,SWIMMER,3,12,9,TEXT_ROUTE19_COOLTRAINER_M2,route,38,Route 19
Route19,Route19.asm,25,object_event,SWIMMER,4,13,25,TEXT_ROUTE19_SWIMMER1,route,38,Route 19
Route19,Route19.asm,26,object_event,SWIMMER,5,4,27,TEXT_ROUTE19_SWIMMER2,route,38,Route 19
Route19,Route19.asm,27,object_event,SWIMMER,6,16,31,TEXT_ROUTE19_SWIMMER3,route,38,Route 19
Route19,Route19.asm,28,object_event,SWIMMER,7,9,13,TEXT_ROUTE19_SWIMMER4,route,38,Route 19
Route19,Route19.asm,29,object_event,BEAUTY,12,8,43,TEXT_ROUTE19_SWIMMER5,route,38,Route 19
Route19,Route19.asm,30,object_event,BEAUTY,13,11,43,TEXT_ROUTE19_SWIMMER6,route,38,Route 19
Route19,Route19.asm,31,object_event,SWIMMER,8,9,42,TEXT_ROUTE19_SWIMMER7,route,38,Route 19
Route19,Route19.asm,32,object_event,BEAUTY,14,10,44,TEXT_ROUTE19_SWIMMER8,route,38,Route 19
Route20,Route20.asm,25,object_event,SWIMMER,9,87,8,TEXT_ROUTE20_SWIMMER1,route,39,Route 20
Route20,Route20.asm,26,object_event,BEAUTY,15,68,11,TEXT_ROUTE20_SWIMMER2,route,39,Route 20
Route20,Route20.asm,27,object_event,BEAUTY,6,45,10,TEXT_ROUTE20_SWIMMER3,route,39,Route 20
Route20,Route20.asm,28,object_event,JR_TRAINER_F,24,55,14,TEXT_ROUTE20_SWIMMER4,route,39,Route 20
Route20,Route20.asm,29,object_event,SWIMMER,10,38,13,TEXT_ROUTE20_SWIMMER5,route,39,Route 20
Route20,Route20.asm,30,object_event,SWIMMER,11,87,13,TEXT_ROUTE20_SWIMMER6,route,39,Route 20
Route20,Route20.asm,31,object_event,BIRD_KEEPER,11,34,9,TEXT_ROUTE20_COOLTRAINER_M,route,39,Route 20
Route20,Route20.asm,32,object_event,BEAUTY,7,25,7,TEXT_ROUTE20_SWIMMER7,route,39,Route 20
Route20,Route20.asm,33,object_event,JR_TRAINER_F,16,24,12,TEXT_ROUTE20_SWIMMER8,route,39,Route 20
Route20,Route20.asm,34,object_event,BEAUTY,8,15,8,TEXT_ROUTE20_SWIMMER9,route,39,Route 20
Route21,Route21.asm,20,object_event,FISHER,7,4,24,TEXT_ROUTE21_FISHER1,route,46,Route 21
Route21,Route21.asm,21,object_event,FISHER,9,6,25,TEXT_ROUTE21_FISHER2,route,46,Route 21
Route21,Route21.asm,22,object_event,SWIMMER,12,10,31,TEXT_ROUTE21_SWIMMER1,route,46,Route 21
Route21,Route21.asm,23,object_event,CUE_BALL,9,12,30,TEXT_ROUTE21_SWIMMER2,route,46,Route 21
Route21,Route21.asm,24,object_event,SWIMMER,13,16,63,TEXT_ROUTE21_SWIMMER3,route,46,Route 21
Route21,Route21.asm,25,object_event,SWIMMER,14,5,71,TEXT_ROUTE21_SWIMMER4,route,46,Route 21
Route21,Route21.asm,26,object_event,SWIMMER,15,15,71,TEXT_ROUTE21_SWIMMER5,route,46,Route 21
Route21,Route21.asm,27,object_event,FISHER,8,14,56,TEXT_ROUTE21_FISHER3,route,46,Route 21
Route21,Route21.asm,28,object_event,FISHER,10,17,57,TEXT_ROUTE21_FISHER4,route,46,Route 21
Route24,Route24.asm,20,object_event,ROCKET,6,11,15,TEXT_ROUTE24_COOLTRAINER_M1,route,12,Route 24
Route24,Route24.asm,21,object_event,JR_TRAINER_M,2,5,20,TEXT_ROUTE24_COOLTRAINER_M2,route,12,Route 24
Route25,Route25.asm,25,object_event,JR_TRAINER_M,2,24,4,TEXT_ROUTE25_COOLTRAINER_M,route,13,Route 25
Route24,Route24.asm,22,object_event,JR_TRAINER_M,3,11,19,TEXT_ROUTE24_COOLTRAINER_M3,route,12,Route 24
